Angular Position, Run #1
Time ( s )	Angular Position ( rad )
0,0000	-0,262
0,0400	-0,264
0,0800	-0,264
0,1200	-0,259
0,1600	-0,250
0,2000	-0,234
0,2400	-0,214
0,2800	-0,190
0,3200	-0,162
0,3600	-0,130
0,4000	-0,096
0,4400	-0,061
0,4800	-0,025
0,5200	0,011
0,5600	0,046
0,6000	0,080
0,6400	0,112
0,6800	0,140
0,7200	0,163
0,7600	0,184
0,8000	0,201
0,8400	0,212
0,8800	0,218
0,9200	0,220
0,9600	0,215
1,0000	0,207
1,0400	0,193
1,0800	0,176
1,1200	0,152
1,1600	0,127
1,2000	0,101
1,2400	0,069
1,2800	0,038
1,3200	0,005
1,3600	-0,030
1,4000	-0,061
1,4400	-0,093
1,4800	-0,123
1,5200	-0,149
1,5600	-0,173
1,6000	-0,192
1,6400	-0,207
1,6800	-0,218
1,7200	-0,225
1,7600	-0,226
1,8000	-0,223
1,8400	-0,214
1,8800	-0,201
1,9200	-0,185
1,9600	-0,165
2,0000	-0,141
2,0400	-0,115
2,0800	-0,085
2,1200	-0,055
2,1600	-0,024
2,2000	0,008
2,2400	0,038
2,2800	0,068
2,3200	0,094
2,3600	0,119
2,4000	0,140
2,4400	0,157
2,4800	0,171
2,5200	0,181
2,5600	0,185
2,6000	0,185
2,6400	0,182
2,6800	0,174
2,7200	0,162
2,7600	0,146
2,8000	0,127
2,8400	0,107
2,8800	0,083
2,9200	0,057
2,9600	0,031
3,0000	0,003
3,0400	-0,025
3,0800	-0,052
3,1200	-0,079
3,1600	-0,102
3,2000	-0,126
3,2400	-0,145
3,2800	-0,162
3,3200	-0,174
3,3600	-0,182
3,4000	-0,188
3,4400	-0,190
3,4800	-0,187
3,5200	-0,181
3,5600	-0,170
3,6000	-0,156
3,6400	-0,138
3,6800	-0,119
3,7200	-0,097
3,7600	-0,074
3,8000	-0,049
3,8400	-0,022
3,8800	0,003
3,9200	0,028
3,9600	0,053
4,0000	0,075
4,0400	0,096
4,0800	0,113
4,1200	0,127
4,1600	0,140
4,2000	0,148
4,2400	0,151
4,2800	0,152
4,3200	0,149
4,3600	0,141
4,4000	0,132
4,4400	0,119
4,4800	0,104
4,5200	0,086
4,5600	0,066
4,6000	0,046
4,6400	0,024
4,6800	0,002
4,7200	-0,022
4,7600	-0,044
4,8000	-0,066
4,8400	-0,086
4,8800	-0,104
4,9200	-0,119
4,9600	-0,134
5,0000	-0,145
5,0400	-0,151
5,0800	-0,156
5,1200	-0,157
5,1600	-0,156
5,2000	-0,149
5,2400	-0,141
5,2800	-0,129
5,3200	-0,115
5,3600	-0,099
5,4000	-0,082
5,4400	-0,061
5,4800	-0,041
5,5200	-0,020
5,5600	0,002
5,6000	0,022
5,6400	0,042
5,6800	0,060
5,7200	0,077
5,7600	0,091
5,8000	0,102
5,8400	0,112
5,8800	0,118
5,9200	0,119
5,9600	0,121
6,0000	0,116
6,0400	0,112
6,0800	0,102
6,1200	0,091
6,1600	0,079
6,2000	0,064
6,2400	0,050
6,2800	0,033
6,3200	0,016
6,3600	-0,003
6,4000	-0,020
6,4400	-0,038
6,4800	-0,055
6,5200	-0,071
6,5600	-0,085
6,6000	-0,097
6,6400	-0,108
6,6800	-0,116
6,7200	-0,123
6,7600	-0,126
6,8000	-0,126
6,8400	-0,124
6,8800	-0,119
6,9200	-0,112
6,9600	-0,102
7,0000	-0,091
7,0400	-0,079
7,0800	-0,064
7,1200	-0,049
7,1600	-0,033
7,2000	-0,016
7,2400	0,002
7,2800	0,017
7,3200	0,033
7,3600	0,047
7,4000	0,060
7,4400	0,071
7,4800	0,080
7,5200	0,086
7,5600	0,090
7,6000	0,091
7,6400	0,090
7,6800	0,088
7,7200	0,082
7,7600	0,075
7,8000	0,068
7,8400	0,058
7,8800	0,047
7,9200	0,035
7,9600	0,022
8,0000	0,009
8,0400	-0,005
8,0800	-0,019
8,1200	-0,031
8,1600	-0,044
