Angular Position, Run #10
Time ( s )	Angular Position ( rad )
0,0000	-0,017
0,0400	0,025
0,0800	0,068
0,1200	0,107
0,1600	0,143
0,2000	0,176
0,2400	0,204
0,2800	0,226
0,3200	0,243
0,3600	0,254
0,4000	0,261
0,4400	0,259
0,4800	0,253
0,5200	0,240
0,5600	0,221
0,6000	0,199
0,6400	0,171
0,6800	0,140
0,7200	0,105
0,7600	0,069
0,8000	0,031
0,8400	-0,008
0,8800	-0,046
0,9200	-0,082
0,9600	-0,116
1,0000	-0,149
1,0400	-0,179
1,0800	-0,203
1,1200	-0,223
1,1600	-0,239
1,2000	-0,248
1,2400	-0,253
1,2800	-0,253
1,3200	-0,247
1,3600	-0,234
1,4000	-0,218
1,4400	-0,198
1,4800	-0,173
1,5200	-0,146
1,5600	-0,115
1,6000	-0,083
1,6400	-0,049
1,6800	-0,014
1,7200	0,019
1,7600	0,052
1,8000	0,083
1,8400	0,112
1,8800	0,137
1,9200	0,159
1,9600	0,176
2,0000	0,190
2,0400	0,198
2,0800	0,203
2,1200	0,201
2,1600	0,196
2,2000	0,185
2,2400	0,171
2,2800	0,152
2,3200	0,130
2,3600	0,105
2,4000	0,079
2,4400	0,049
2,4800	0,019
2,5200	-0,011
2,5600	-0,041
2,6000	-0,069
2,6400	-0,097
2,6800	-0,123
2,7200	-0,145
2,7600	-0,163
2,8000	-0,179
2,8400	-0,192
2,8800	-0,198
2,9200	-0,201
2,9600	-0,199
3,0000	-0,195
3,0400	-0,185
3,0800	-0,171
3,1200	-0,156
3,1600	-0,135
3,2000	-0,115
3,2400	-0,090
3,2800	-0,064
3,3200	-0,038
3,3600	-0,011
3,4000	0,016
3,4400	0,041
3,4800	0,066
3,5200	0,088
3,5600	0,107
3,6000	0,124
3,6400	0,138
3,6800	0,148
3,7200	0,154
3,7600	0,156
3,8000	0,156
3,8400	0,149
3,8800	0,141
3,9200	0,129
3,9600	0,115
4,0000	0,097
4,0400	0,077
4,0800	0,055
4,1200	0,033
4,1600	0,009
4,2000	-0,014
4,2400	-0,038
4,2800	-0,060
4,3200	-0,082
4,3600	-0,101
4,4000	-0,118
4,4400	-0,132
4,4800	-0,145
4,5200	-0,152
4,5600	-0,157
4,6000	-0,159
4,6400	-0,157
4,6800	-0,152
4,7200	-0,145
4,7600	-0,134
4,8000	-0,121
4,8400	-0,105
4,8800	-0,088
4,9200	-0,069
4,9600	-0,049
5,0000	-0,028
5,0400	-0,008
5,0800	0,013
5,1200	0,031
5,1600	0,050
5,2000	0,068
5,2400	0,082
5,2800	0,094
5,3200	0,104
5,3600	0,112
5,4000	0,116
5,4400	0,116
5,4800	0,116
5,5200	0,112
5,5600	0,104
5,6000	0,094
5,6400	0,082
5,6800	0,069
5,7200	0,053
5,7600	0,038
5,8000	0,020
5,8400	0,002
5,8800	-0,016
5,9200	-0,033
5,9600	-0,050
6,0000	-0,066
6,0400	-0,080
6,0800	-0,093
6,1200	-0,104
6,1600	-0,112
6,2000	-0,116
6,2400	-0,121
6,2800	-0,121
6,3200	-0,119
6,3600	-0,116
6,4000	-0,110
6,4400	-0,101
6,4800	-0,091
6,5200	-0,079
6,5600	-0,066
6,6000	-0,052
6,6400	-0,036
6,6800	-0,022
6,7200	-0,006
6,7600	0,009
6,8000	0,024
6,8400	0,036
6,8800	0,049
6,9200	0,060
6,9600	0,068
7,0000	0,074
7,0400	0,080
7,0800	0,082
7,1200	0,083
7,1600	0,082
7,2000	0,079
7,2400	0,072
7,2800	0,066
7,3200	0,057
7,3600	0,046
7,4000	0,035
7,4400	0,022
7,4800	0,009
7,5200	-0,003
7,5600	-0,016
7,6000	-0,030
7,6400	-0,041
7,6800	-0,052
7,7200	-0,063
7,7600	-0,071
7,8000	-0,079
7,8400	-0,083
7,8800	-0,088
7,9200	-0,090
7,9600	-0,090
8,0000	-0,088
8,0400	-0,085
8,0800	-0,080
8,1200	-0,074
8,1600	-0,066
8,2000	-0,058
8,2400	-0,047
8,2800	-0,038
8,3200	-0,027
8,3600	-0,016
8,4000	-0,005
8,4400	0,005
8,4800	0,016
8,5200	0,024
8,5600	0,033
8,6000	0,039
8,6400	0,046
8,6800	0,050
8,7200	0,053
8,7600	0,053
8,8000	0,055
8,8400	0,053
8,8800	0,050
8,9200	0,046
8,9600	0,041
9,0000	0,035
9,0400	0,027
9,0800	0,017
9,1200	0,009
9,1600	0,000
9,2000	-0,008
9,2400	-0,017
9,2800	-0,025
9,3200	-0,033
9,3600	-0,041
9,4000	-0,047
9,4400	-0,053
9,4800	-0,058
9,5200	-0,060
9,5600	-0,063
9,6000	-0,063
9,6400	-0,063
9,6800	-0,061
9,7200	-0,058
9,7600	-0,055
9,8000	-0,050
9,8400	-0,046
9,8800	-0,039
9,9200	-0,033
9,9600	-0,027
10,0000	-0,019
10,0400	-0,013
10,0800	-0,005
10,1200	0,002
10,1600	0,008
10,2000	0,013
10,2400	0,017
10,2800	0,022
10,3200	0,025
10,3600	0,028
10,4000	0,030
10,4400	0,030
10,4800	0,030
10,5200	0,028
10,5600	0,025
10,6000	0,022
10,6400	0,019
10,6800	0,014
10,7200	0,009
10,7600	0,005
10,8000	-0,002
10,8400	-0,006
10,8800	-0,011
10,9200	-0,016
10,9600	-0,022
11,0000	-0,027
11,0400	-0,030
11,0800	-0,033
11,1200	-0,036
