Angular Position, Run #13
Time ( s )	Angular Position ( rad )
0,0000	0,008
0,0400	0,049
0,0800	0,088
0,1200	0,124
0,1600	0,157
0,2000	0,185
0,2400	0,207
0,2800	0,226
0,3200	0,239
0,3600	0,245
0,4000	0,245
0,4400	0,240
0,4800	0,231
0,5200	0,214
0,5600	0,195
0,6000	0,170
0,6400	0,143
0,6800	0,112
0,7200	0,079
0,7600	0,044
0,8000	0,009
0,8400	-0,025
0,8800	-0,058
0,9200	-0,090
0,9600	-0,119
1,0000	-0,146
1,0400	-0,168
1,0800	-0,187
1,1200	-0,201
1,1600	-0,212
1,2000	-0,217
1,2400	-0,217
1,2800	-0,214
1,3200	-0,204
1,3600	-0,192
1,4000	-0,174
1,4400	-0,154
1,4800	-0,132
1,5200	-0,107
1,5600	-0,080
1,6000	-0,052
1,6400	-0,025
1,6800	0,003
1,7200	0,030
1,7600	0,057
1,8000	0,080
1,8400	0,101
1,8800	0,119
1,9200	0,134
1,9600	0,145
2,0000	0,152
2,0400	0,157
2,0800	0,157
2,1200	0,152
2,1600	0,146
2,2000	0,135
2,2400	0,121
2,2800	0,105
2,3200	0,086
2,3600	0,068
2,4000	0,046
2,4400	0,024
2,4800	0,000
2,5200	-0,022
2,5600	-0,044
2,6000	-0,064
2,6400	-0,083
2,6800	-0,101
2,7200	-0,115
2,7600	-0,126
2,8000	-0,135
2,8400	-0,140
2,8800	-0,143
2,9200	-0,145
2,9600	-0,140
3,0000	-0,134
3,0400	-0,126
3,0800	-0,115
3,1200	-0,102
3,1600	-0,086
3,2000	-0,071
3,2400	-0,053
3,2800	-0,036
3,3200	-0,017
3,3600	0,000
3,4000	0,017
3,4400	0,035
3,4800	0,049
3,5200	0,063
3,5600	0,074
3,6000	0,083
3,6400	0,090
3,6800	0,094
3,7200	0,097
3,7600	0,097
3,8000	0,094
3,8400	0,090
3,8800	0,082
3,9200	0,074
3,9600	0,063
4,0000	0,050
4,0400	0,038
4,0800	0,024
4,1200	0,011
4,1600	-0,005
4,2000	-0,019
4,2400	-0,031
4,2800	-0,046
4,3200	-0,057
4,3600	-0,068
4,4000	-0,075
4,4400	-0,083
4,4800	-0,088
4,5200	-0,093
4,5600	-0,094
4,6000	-0,094
4,6400	-0,091
4,6800	-0,086
4,7200	-0,082
4,7600	-0,074
4,8000	-0,066
4,8400	-0,057
4,8800	-0,046
4,9200	-0,036
4,9600	-0,025
5,0000	-0,013
5,0400	-0,002
5,0800	0,008
5,1200	0,019
5,1600	0,027
5,2000	0,036
5,2400	0,042
5,2800	0,047
5,3200	0,052
5,3600	0,055
5,4000	0,055
5,4400	0,055
5,4800	0,053
5,5200	0,050
5,5600	0,046
5,6000	0,039
5,6400	0,033
5,6800	0,025
5,7200	0,017
5,7600	0,009
5,8000	0,000
5,8400	-0,008
5,8800	-0,016
5,9200	-0,025
5,9600	-0,031
6,0000	-0,038
6,0400	-0,044
6,0800	-0,050
6,1200	-0,053
6,1600	-0,057
6,2000	-0,058
6,2400	-0,058
6,2800	-0,058
6,3200	-0,057
6,3600	-0,053
6,4000	-0,050
6,4400	-0,046
6,4800	-0,041
6,5200	-0,036
6,5600	-0,030
6,6000	-0,024
6,6400	-0,017
6,6800	-0,011
6,7200	-0,005
6,7600	0,000
6,8000	0,006
6,8400	0,011
6,8800	0,016
6,9200	0,019
6,9600	0,022
7,0000	0,024
7,0400	0,025
7,0800	0,025
7,1200	0,025
7,1600	0,024
7,2000	0,022
7,2400	0,019
7,2800	0,016
7,3200	0,013
7,3600	0,008
7,4000	0,005
7,4400	0,000
7,4800	-0,005
7,5200	-0,009
7,5600	-0,014
7,6000	-0,017
7,6400	-0,020
7,6800	-0,025
7,7200	-0,027
7,7600	-0,030
7,8000	-0,031
7,8400	-0,033
7,8800	-0,033
7,9200	-0,033
7,9600	-0,033
8,0000	-0,031
8,0400	-0,030
8,0800	-0,028
8,1200	-0,027
8,1600	-0,024
8,2000	-0,020
8,2400	-0,019
8,2800	-0,016
8,3200	-0,013
8,3600	-0,009
8,4000	-0,008
8,4400	-0,005
8,4800	-0,003
8,5200	-0,002
8,5600	0,000
8,6000	0,002
8,6400	0,003
8,6800	0,003
8,7200	0,003
8,7600	0,003
8,8000	0,003
8,8400	0,003
8,8800	0,002
8,9200	0,000
8,9600	0,000
9,0000	-0,002
9,0400	-0,005
9,0800	-0,006
9,1200	-0,008
9,1600	-0,009
9,2000	-0,011
9,2400	-0,013
9,2800	-0,013
9,3200	-0,014
9,3600	-0,014
9,4000	-0,016
9,4400	-0,016
9,4800	-0,016
9,5200	-0,016
9,5600	-0,016
9,6000	-0,016
9,6400	-0,016
9,6800	-0,014
9,7200	-0,014
9,7600	-0,014
9,8000	-0,013
9,8400	-0,013
9,8800	-0,013
9,9200	-0,011
9,9600	-0,011
10,0000	-0,009
10,0400	-0,009
10,0800	-0,009
10,1200	-0,009
10,1600	-0,009
10,2000	-0,009
10,2400	-0,009
10,2800	-0,009
10,3200	-0,009
10,3600	-0,009
10,4000	-0,009
10,4400	-0,009
10,4800	-0,009
10,5200	-0,009
10,5600	-0,009
10,6000	-0,009
10,6400	-0,009
10,6800	-0,009
10,7200	-0,009
10,7600	-0,009
10,8000	-0,009
10,8400	-0,009
10,8800	-0,009
10,9200	-0,009
10,9600	-0,009
11,0000	-0,009
11,0400	-0,009
11,0800	-0,009
11,1200	-0,009
11,1600	-0,009
11,2000	-0,009
11,2400	-0,009
11,2800	-0,009
11,3200	-0,009
