Angular Position, Run #34
Time ( s )	Angular Position ( rad )
0,0000	-0,245
0,0400	-0,231
0,0800	-0,212
0,1200	-0,188
0,1600	-0,163
0,2000	-0,137
0,2400	-0,108
0,2800	-0,079
0,3200	-0,049
0,3600	-0,020
0,4000	0,008
0,4400	0,033
0,4800	0,057
0,5200	0,077
0,5600	0,096
0,6000	0,110
0,6400	0,121
0,6800	0,129
0,7200	0,134
0,7600	0,135
0,8000	0,134
0,8400	0,129
0,8800	0,121
0,9200	0,112
0,9600	0,101
1,0000	0,088
1,0400	0,074
1,0800	0,060
1,1200	0,044
1,1600	0,028
1,2000	0,014
1,2400	0,000
1,2800	-0,014
1,3200	-0,027
1,3600	-0,038
1,4000	-0,047
1,4400	-0,055
1,4800	-0,061
1,5200	-0,066
1,5600	-0,068
1,6000	-0,069
1,6400	-0,069
1,6800	-0,068
1,7200	-0,064
1,7600	-0,060
1,8000	-0,053
1,8400	-0,047
1,8800	-0,041
1,9200	-0,033
1,9600	-0,027
2,0000	-0,019
2,0400	-0,011
2,0800	-0,003
2,1200	0,003
2,1600	0,009
2,2000	0,016
2,2400	0,020
2,2800	0,024
2,3200	0,028
2,3600	0,030
2,4000	0,031
2,4400	0,033
2,4800	0,033
2,5200	0,031
2,5600	0,030
2,6000	0,028
2,6400	0,025
2,6800	0,022
2,7200	0,019
2,7600	0,016
2,8000	0,013
2,8400	0,009
2,8800	0,006
2,9200	0,003
2,9600	0,000
3,0000	-0,003
3,0400	-0,006
3,0800	-0,008
3,1200	-0,009
3,1600	-0,011
3,2000	-0,013
3,2400	-0,014
3,2800	-0,014
3,3200	-0,014
3,3600	-0,014
3,4000	-0,013
3,4400	-0,013
3,4800	-0,011
3,5200	-0,009
3,5600	-0,009
3,6000	-0,008
3,6400	-0,006
3,6800	-0,005
3,7200	-0,005
3,7600	-0,003
3,8000	-0,002
3,8400	-0,002
3,8800	0,000
3,9200	0,002
3,9600	0,002
4,0000	0,002
4,0400	0,002
4,0800	0,002
4,1200	0,003
4,1600	0,003
4,2000	0,003
4,2400	0,003
4,2800	0,002
4,3200	0,002
4,3600	0,002
4,4000	0,002
4,4400	0,002
4,4800	0,002
4,5200	0,000
4,5600	0,000
4,6000	0,000
4,6400	0,000
4,6800	0,000
4,7200	0,000
4,7600	-0,002
4,8000	-0,002
4,8400	-0,002
4,8800	-0,002
4,9200	-0,002
4,9600	-0,002
