Angular Position, Run #35
Time ( s )	Angular Position ( rad )
0,0000	0,035
0,0400	0,057
0,0800	0,075
0,1200	0,091
0,1600	0,104
0,2000	0,115
0,2400	0,121
0,2800	0,124
0,3200	0,126
0,3600	0,123
0,4000	0,119
0,4400	0,112
0,4800	0,102
0,5200	0,091
0,5600	0,080
0,6000	0,066
0,6400	0,053
0,6800	0,039
0,7200	0,025
0,7600	0,011
0,8000	-0,002
0,8400	-0,014
0,8800	-0,025
0,9200	-0,036
0,9600	-0,044
1,0000	-0,052
1,0400	-0,057
1,0800	-0,061
1,1200	-0,063
1,1600	-0,064
1,2000	-0,064
1,2400	-0,061
1,2800	-0,058
1,3200	-0,053
1,3600	-0,049
1,4000	-0,042
1,4400	-0,036
1,4800	-0,030
1,5200	-0,022
1,5600	-0,016
1,6000	-0,009
1,6400	-0,003
1,6800	0,003
1,7200	0,009
1,7600	0,016
1,8000	0,019
1,8400	0,024
1,8800	0,027
1,9200	0,028
1,9600	0,030
2,0000	0,030
2,0400	0,030
2,0800	0,030
2,1200	0,028
2,1600	0,027
2,2000	0,024
2,2400	0,020
2,2800	0,017
2,3200	0,014
2,3600	0,011
2,4000	0,008
2,4400	0,005
2,4800	0,002
2,5200	-0,002
2,5600	-0,003
2,6000	-0,006
2,6400	-0,008
2,6800	-0,009
2,7200	-0,011
2,7600	-0,011
2,8000	-0,013
2,8400	-0,013
2,8800	-0,013
2,9200	-0,013
2,9600	-0,011
3,0000	-0,011
3,0400	-0,009
3,0800	-0,009
3,1200	-0,008
3,1600	-0,006
3,2000	-0,006
3,2400	-0,005
3,2800	-0,003
3,3200	-0,003
3,3600	-0,002
3,4000	-0,002
3,4400	0,000
3,4800	0,000
3,5200	0,002
3,5600	0,002
3,6000	0,002
3,6400	0,002
3,6800	0,002
3,7200	0,002
3,7600	0,002
3,8000	0,002
3,8400	0,002
3,8800	0,002
3,9200	0,002
3,9600	0,002
4,0000	0,002
4,0400	0,000
4,0800	0,000
4,1200	0,000
4,1600	0,000
4,2000	0,000
4,2400	0,000
4,2800	0,000
4,3200	0,000
4,3600	0,000
4,4000	0,000
4,4400	0,000
4,4800	0,000
4,5200	0,000
4,5600	0,000
4,6000	0,000
4,6400	0,000
4,6800	0,000
4,7200	0,000
4,7600	0,000
4,8000	0,000
4,8400	0,000
4,8800	0,000
4,9200	0,000
4,9600	0,000
5,0000	0,000
5,0400	0,000
5,0800	0,000
5,1200	0,000
5,1600	0,000
5,2000	0,000
5,2400	0,000
5,2800	0,000
5,3200	0,000
