Angular Position, Run #36
Time ( s )	Angular Position ( rad )
0,0000	0,000
0,0400	0,000
0,0800	0,000
0,1200	0,000
0,1600	0,000
0,2000	0,000
0,2400	0,000
0,2800	0,000
0,3200	0,000
0,3600	0,000
0,4000	0,000
0,4400	0,000
0,4800	0,000
0,5200	0,000
0,5600	0,000
0,6000	0,000
0,6400	0,000
0,6800	0,000
0,7200	0,000
0,7600	0,000
0,8000	0,000
0,8400	0,000
0,8800	0,000
0,9200	0,000
0,9600	0,000
1,0000	0,000
1,0400	0,000
1,0800	0,000
1,1200	0,000
1,1600	0,000
1,2000	-0,005
1,2400	-0,030
1,2800	-0,072
1,3200	-0,112
1,3600	-0,146
1,4000	-0,174
1,4400	-0,198
1,4800	-0,217
1,5200	-0,228
1,5600	-0,234
1,6000	-0,236
1,6400	-0,231
1,6800	-0,221
1,7200	-0,207
1,7600	-0,192
1,8000	-0,171
1,8400	-0,148
1,8800	-0,123
1,9200	-0,097
1,9600	-0,071
2,0000	-0,044
2,0400	-0,019
2,0800	0,006
2,1200	0,030
2,1600	0,052
2,2000	0,071
2,2400	0,086
2,2800	0,099
2,3200	0,110
2,3600	0,116
2,4000	0,121
2,4400	0,123
2,4800	0,121
2,5200	0,116
2,5600	0,110
2,6000	0,102
2,6400	0,091
2,6800	0,080
2,7200	0,068
2,7600	0,053
2,8000	0,041
2,8400	0,027
2,8800	0,014
2,9200	0,000
2,9600	-0,011
3,0000	-0,024
3,0400	-0,033
3,0800	-0,042
3,1200	-0,049
3,1600	-0,055
3,2000	-0,058
3,2400	-0,061
3,2800	-0,061
3,3200	-0,061
3,3600	-0,060
3,4000	-0,057
3,4400	-0,053
3,4800	-0,049
3,5200	-0,042
3,5600	-0,036
3,6000	-0,030
3,6400	-0,024
3,6800	-0,016
3,7200	-0,009
3,7600	-0,003
3,8000	0,003
3,8400	0,009
3,8800	0,014
3,9200	0,019
3,9600	0,022
4,0000	0,025
4,0400	0,027
4,0800	0,028
4,1200	0,028
4,1600	0,030
4,2000	0,028
4,2400	0,028
4,2800	0,025
4,3200	0,024
4,3600	0,020
4,4000	0,017
4,4400	0,014
4,4800	0,011
4,5200	0,008
4,5600	0,005
4,6000	0,003
4,6400	0,000
4,6800	-0,003
4,7200	-0,005
4,7600	-0,006
4,8000	-0,009
4,8400	-0,009
4,8800	-0,011
4,9200	-0,011
4,9600	-0,011
5,0000	-0,011
5,0400	-0,011
5,0800	-0,011
5,1200	-0,009
5,1600	-0,009
5,2000	-0,009
5,2400	-0,008
5,2800	-0,006
5,3200	-0,005
5,3600	-0,005
5,4000	-0,003
5,4400	-0,002
5,4800	-0,002
5,5200	0,000
5,5600	0,000
5,6000	0,002
5,6400	0,002
5,6800	0,002
5,7200	0,002
5,7600	0,002
5,8000	0,002
5,8400	0,002
5,8800	0,002
5,9200	0,002
5,9600	0,002
6,0000	0,002
6,0400	0,002
6,0800	0,002
6,1200	0,002
6,1600	0,002
6,2000	0,000
6,2400	0,000
6,2800	0,000
6,3200	0,000
6,3600	0,000
6,4000	0,000
