Angular Position, Run #38
Time ( s )	Angular Position ( rad )
0,0000	0,000
0,0400	0,000
0,0800	0,000
0,1200	0,000
0,1600	0,000
0,2000	0,000
0,2400	0,000
0,2800	0,000
0,3200	0,000
0,3600	0,000
0,4000	0,000
0,4400	0,000
0,4800	0,000
0,5200	0,000
0,5600	0,000
0,6000	0,000
0,6400	0,000
0,6800	0,000
0,7200	-0,002
0,7600	-0,019
0,8000	-0,046
0,8400	-0,071
0,8800	-0,091
0,9200	-0,110
0,9600	-0,124
1,0000	-0,135
1,0400	-0,141
1,0800	-0,146
1,1200	-0,146
1,1600	-0,143
1,2000	-0,137
1,2400	-0,129
1,2800	-0,118
1,3200	-0,105
1,3600	-0,091
1,4000	-0,075
1,4400	-0,060
1,4800	-0,042
1,5200	-0,027
1,5600	-0,009
1,6000	0,005
1,6400	0,020
1,6800	0,033
1,7200	0,044
1,7600	0,053
1,8000	0,061
1,8400	0,068
1,8800	0,072
1,9200	0,074
1,9600	0,075
2,0000	0,074
2,0400	0,072
2,0800	0,068
2,1200	0,063
2,1600	0,057
2,2000	0,049
2,2400	0,041
2,2800	0,033
2,3200	0,025
2,3600	0,017
2,4000	0,009
2,4400	0,002
2,4800	-0,006
2,5200	-0,013
2,5600	-0,017
2,6000	-0,024
2,6400	-0,027
2,6800	-0,030
2,7200	-0,033
2,7600	-0,035
2,8000	-0,035
2,8400	-0,035
2,8800	-0,033
2,9200	-0,031
2,9600	-0,028
3,0000	-0,027
3,0400	-0,022
3,0800	-0,019
3,1200	-0,016
3,1600	-0,013
3,2000	-0,009
3,2400	-0,005
3,2800	-0,002
3,3200	0,002
3,3600	0,005
3,4000	0,008
3,4400	0,009
3,4800	0,011
3,5200	0,013
3,5600	0,014
3,6000	0,014
3,6400	0,016
3,6800	0,016
3,7200	0,014
3,7600	0,014
3,8000	0,013
3,8400	0,011
3,8800	0,009
3,9200	0,009
3,9600	0,008
4,0000	0,006
4,0400	0,005
4,0800	0,003
4,1200	0,002
4,1600	0,000
4,2000	0,000
4,2400	-0,002
4,2800	-0,002
4,3200	-0,003
4,3600	-0,003
4,4000	-0,003
4,4400	-0,003
4,4800	-0,003
4,5200	-0,003
4,5600	-0,003
4,6000	-0,003
4,6400	-0,002
4,6800	-0,002
4,7200	-0,002
4,7600	-0,002
4,8000	-0,002
4,8400	0,000
4,8800	0,000
4,9200	0,000
4,9600	0,000
5,0000	0,000
5,0400	0,000
5,0800	0,000
5,1200	0,000
5,1600	0,000
5,2000	0,000
5,2400	0,000
