Angular Position, Run #39
Time ( s )	Angular Position ( rad )
0,0000	-0,162
0,0400	-0,159
0,0800	-0,156
0,1200	-0,152
0,1600	-0,148
0,2000	-0,145
0,2400	-0,141
0,2800	-0,137
0,3200	-0,134
0,3600	-0,130
0,4000	-0,126
0,4400	-0,121
0,4800	-0,118
0,5200	-0,113
0,5600	-0,108
0,6000	-0,104
0,6400	-0,097
0,6800	-0,093
0,7200	-0,088
0,7600	-0,082
0,8000	-0,075
0,8400	-0,069
0,8800	-0,063
0,9200	-0,057
0,9600	-0,050
1,0000	-0,042
1,0400	-0,036
1,0800	-0,028
1,1200	-0,022
1,1600	-0,014
1,2000	-0,008
1,2400	0,000
1,2800	0,006
1,3200	0,013
1,3600	0,019
1,4000	0,025
1,4400	0,030
1,4800	0,035
1,5200	0,038
1,5600	0,041
1,6000	0,044
1,6400	0,046
1,6800	0,046
1,7200	0,046
1,7600	0,046
1,8000	0,046
1,8400	0,044
1,8800	0,042
1,9200	0,041
1,9600	0,039
2,0000	0,038
2,0400	0,035
2,0800	0,033
2,1200	0,030
2,1600	0,027
2,2000	0,024
2,2400	0,019
2,2800	0,016
2,3200	0,009
2,3600	0,005
2,4000	0,000
2,4400	-0,006
2,4800	-0,013
2,5200	-0,020
2,5600	-0,028
2,6000	-0,035
2,6400	-0,042
2,6800	-0,052
2,7200	-0,060
2,7600	-0,069
2,8000	-0,079
2,8400	-0,086
2,8800	-0,096
2,9200	-0,105
2,9600	-0,113
3,0000	-0,121
3,0400	-0,129
3,0800	-0,137
3,1200	-0,143
3,1600	-0,149
3,2000	-0,156
3,2400	-0,160
3,2800	-0,165
3,3200	-0,168
3,3600	-0,171
3,4000	-0,173
3,4400	-0,174
3,4800	-0,174
3,5200	-0,174
3,5600	-0,174
3,6000	-0,173
3,6400	-0,171
3,6800	-0,170
3,7200	-0,167
3,7600	-0,165
3,8000	-0,162
3,8400	-0,159
3,8800	-0,156
3,9200	-0,152
3,9600	-0,149
4,0000	-0,145
4,0400	-0,141
4,0800	-0,137
4,1200	-0,134
4,1600	-0,129
4,2000	-0,126
4,2400	-0,121
4,2800	-0,118
4,3200	-0,113
4,3600	-0,108
4,4000	-0,104
4,4400	-0,099
4,4800	-0,094
4,5200	-0,090
4,5600	-0,083
4,6000	-0,079
4,6400	-0,072
4,6800	-0,066
4,7200	-0,060
4,7600	-0,053
4,8000	-0,047
4,8400	-0,039
4,8800	-0,033
4,9200	-0,025
4,9600	-0,017
5,0000	-0,011
5,0400	-0,003
5,0800	0,003
5,1200	0,009
5,1600	0,016
5,2000	0,022
5,2400	0,028
5,2800	0,033
5,3200	0,036
5,3600	0,041
5,4000	0,042
5,4400	0,046
5,4800	0,046
5,5200	0,047
5,5600	0,047
5,6000	0,047
5,6400	0,046
5,6800	0,044
5,7200	0,042
5,7600	0,041
5,8000	0,039
5,8400	0,036
5,8800	0,035
5,9200	0,031
5,9600	0,028
6,0000	0,025
6,0400	0,020
6,0800	0,016
6,1200	0,011
6,1600	0,006
6,2000	0,002
6,2400	-0,005
6,2800	-0,013
6,3200	-0,019
6,3600	-0,027
6,4000	-0,035
6,4400	-0,042
6,4800	-0,052
6,5200	-0,060
6,5600	-0,069
6,6000	-0,079
6,6400	-0,086
6,6800	-0,096
6,7200	-0,104
6,7600	-0,112
6,8000	-0,121
6,8400	-0,129
6,8800	-0,135
6,9200	-0,141
6,9600	-0,148
7,0000	-0,154
7,0400	-0,159
7,0800	-0,162
7,1200	-0,167
7,1600	-0,168
7,2000	-0,171
7,2400	-0,173
7,2800	-0,173
7,3200	-0,173
7,3600	-0,173
7,4000	-0,171
7,4400	-0,170
7,4800	-0,168
7,5200	-0,167
7,5600	-0,163
7,6000	-0,160
7,6400	-0,159
7,6800	-0,156
7,7200	-0,152
7,7600	-0,149
7,8000	-0,146
7,8400	-0,143
7,8800	-0,138
7,9200	-0,135
7,9600	-0,132
8,0000	-0,127
8,0400	-0,124
8,0800	-0,119
8,1200	-0,116
8,1600	-0,112
8,2000	-0,107
8,2400	-0,102
8,2800	-0,097
8,3200	-0,093
8,3600	-0,086
8,4000	-0,082
8,4400	-0,075
8,4800	-0,069
8,5200	-0,063
8,5600	-0,055
8,6000	-0,049
8,6400	-0,041
