Angular Position, Run #48
Time ( s )	Angular Position ( rad )
0,0000	-0,239
0,0400	-0,236
0,0800	-0,229
0,1200	-0,223
0,1600	-0,215
0,2000	-0,206
0,2400	-0,195
0,2800	-0,184
0,3200	-0,173
0,3600	-0,159
0,4000	-0,145
0,4400	-0,130
0,4800	-0,116
0,5200	-0,101
0,5600	-0,086
0,6000	-0,072
0,6400	-0,057
0,6800	-0,042
0,7200	-0,028
0,7600	-0,016
0,8000	-0,003
0,8400	0,008
0,8800	0,019
0,9200	0,028
0,9600	0,036
1,0000	0,044
1,0400	0,049
1,0800	0,053
1,1200	0,055
1,1600	0,057
1,2000	0,055
1,2400	0,053
1,2800	0,050
1,3200	0,044
1,3600	0,038
1,4000	0,030
1,4400	0,020
1,4800	0,009
1,5200	-0,002
1,5600	-0,014
1,6000	-0,028
1,6400	-0,042
1,6800	-0,057
1,7200	-0,072
1,7600	-0,086
1,8000	-0,102
1,8400	-0,118
1,8800	-0,132
1,9200	-0,148
1,9600	-0,162
2,0000	-0,174
2,0400	-0,187
2,0800	-0,199
2,1200	-0,210
2,1600	-0,218
2,2000	-0,228
2,2400	-0,234
2,2800	-0,240
2,3200	-0,243
2,3600	-0,247
2,4000	-0,247
2,4400	-0,247
2,4800	-0,245
2,5200	-0,242
2,5600	-0,239
2,6000	-0,234
2,6400	-0,228
2,6800	-0,220
2,7200	-0,212
2,7600	-0,203
2,8000	-0,193
2,8400	-0,182
2,8800	-0,173
2,9200	-0,160
2,9600	-0,149
3,0000	-0,137
3,0400	-0,126
3,0800	-0,115
3,1200	-0,102
3,1600	-0,091
3,2000	-0,080
3,2400	-0,069
3,2800	-0,060
3,3200	-0,049
3,3600	-0,039
3,4000	-0,030
3,4400	-0,022
3,4800	-0,014
3,5200	-0,006
3,5600	0,000
3,6000	0,006
3,6400	0,013
3,6800	0,017
3,7200	0,020
3,7600	0,024
3,8000	0,027
3,8400	0,027
3,8800	0,027
3,9200	0,027
3,9600	0,025
4,0000	0,022
4,0400	0,019
4,0800	0,014
4,1200	0,008
4,1600	0,002
4,2000	-0,006
4,2400	-0,014
4,2800	-0,024
4,3200	-0,035
4,3600	-0,046
4,4000	-0,058
4,4400	-0,071
4,4800	-0,083
4,5200	-0,096
4,5600	-0,110
4,6000	-0,124
4,6400	-0,138
4,6800	-0,152
4,7200	-0,165
4,7600	-0,179
4,8000	-0,192
4,8400	-0,204
4,8800	-0,215
4,9200	-0,225
4,9600	-0,234
5,0000	-0,242
5,0400	-0,248
5,0800	-0,251
5,1200	-0,254
5,1600	-0,256
5,2000	-0,256
5,2400	-0,256
5,2800	-0,253
5,3200	-0,248
5,3600	-0,242
5,4000	-0,234
5,4400	-0,225
5,4800	-0,215
5,5200	-0,204
5,5600	-0,192
5,6000	-0,178
5,6400	-0,163
5,6800	-0,149
5,7200	-0,135
5,7600	-0,119
5,8000	-0,104
5,8400	-0,088
5,8800	-0,074
5,9200	-0,060
5,9600	-0,046
6,0000	-0,033
6,0400	-0,020
6,0800	-0,008
6,1200	0,003
6,1600	0,013
6,2000	0,020
6,2400	0,028
6,2800	0,035
6,3200	0,039
6,3600	0,042
6,4000	0,046
6,4400	0,046
6,4800	0,046
6,5200	0,044
6,5600	0,041
6,6000	0,036
6,6400	0,031
6,6800	0,024
6,7200	0,016
6,7600	0,008
6,8000	-0,002
6,8400	-0,011
6,8800	-0,022
6,9200	-0,035
6,9600	-0,047
7,0000	-0,060
7,0400	-0,072
7,0800	-0,085
7,1200	-0,097
7,1600	-0,110
7,2000	-0,123
7,2400	-0,135
7,2800	-0,148
7,3200	-0,160
7,3600	-0,171
7,4000	-0,181
7,4400	-0,192
7,4800	-0,199
7,5200	-0,209
7,5600	-0,215
7,6000	-0,221
7,6400	-0,228
7,6800	-0,231
7,7200	-0,234
7,7600	-0,236
7,8000	-0,236
7,8400	-0,236
7,8800	-0,236
7,9200	-0,232
7,9600	-0,229
8,0000	-0,223
8,0400	-0,218
8,0800	-0,212
8,1200	-0,204
8,1600	-0,196
8,2000	-0,187
8,2400	-0,178
8,2800	-0,167
8,3200	-0,156
8,3600	-0,145
8,4000	-0,134
8,4400	-0,121
8,4800	-0,108
8,5200	-0,097
8,5600	-0,085
8,6000	-0,072
8,6400	-0,061
8,6800	-0,049
8,7200	-0,038
8,7600	-0,027
8,8000	-0,017
8,8400	-0,008
8,8800	0,002
8,9200	0,009
8,9600	0,017
9,0000	0,025
9,0400	0,030
9,0800	0,035
9,1200	0,038
9,1600	0,041
9,2000	0,041
9,2400	0,041
9,2800	0,039
9,3200	0,036
9,3600	0,033
9,4000	0,027
9,4400	0,020
9,4800	0,013
9,5200	0,003
9,5600	-0,006
9,6000	-0,017
9,6400	-0,030
9,6800	-0,042
9,7200	-0,057
9,7600	-0,071
9,8000	-0,085
9,8400	-0,099
9,8800	-0,115
9,9200	-0,129
9,9600	-0,145
10,0000	-0,159
10,0400	-0,173
10,0800	-0,185
10,1200	-0,198
10,1600	-0,210
10,2000	-0,221
10,2400	-0,231
10,2800	-0,239
10,3200	-0,245
10,3600	-0,250
10,4000	-0,253
10,4400	-0,256
10,4800	-0,256
10,5200	-0,254
10,5600	-0,253
10,6000	-0,248
10,6400	-0,242
10,6800	-0,236
10,7200	-0,228
10,7600	-0,218
10,8000	-0,207
