Angular Position, Run #44
Time ( s )	Angular Position ( rad )
0,0000	-0,306
0,0400	-0,273
0,0800	-0,237
0,1200	-0,199
0,1600	-0,160
0,2000	-0,119
0,2400	-0,080
0,2800	-0,041
0,3200	-0,003
0,3600	0,031
0,4000	0,066
0,4400	0,096
0,4800	0,123
0,5200	0,146
0,5600	0,167
0,6000	0,181
0,6400	0,192
0,6800	0,198
0,7200	0,199
0,7600	0,198
0,8000	0,192
0,8400	0,181
0,8800	0,168
0,9200	0,149
0,9600	0,129
1,0000	0,107
1,0400	0,080
1,0800	0,053
1,1200	0,025
1,1600	-0,005
1,2000	-0,035
1,2400	-0,064
1,2800	-0,094
1,3200	-0,124
1,3600	-0,152
1,4000	-0,178
1,4400	-0,203
1,4800	-0,225
1,5200	-0,245
1,5600	-0,262
1,6000	-0,278
1,6400	-0,289
1,6800	-0,297
1,7200	-0,303
1,7600	-0,305
1,8000	-0,303
1,8400	-0,298
1,8800	-0,291
1,9200	-0,281
1,9600	-0,267
2,0000	-0,253
2,0400	-0,234
2,0800	-0,215
2,1200	-0,192
2,1600	-0,170
2,2000	-0,145
2,2400	-0,118
2,2800	-0,091
2,3200	-0,066
2,3600	-0,039
2,4000	-0,013
2,4400	0,013
2,4800	0,036
2,5200	0,060
2,5600	0,080
2,6000	0,099
2,6400	0,116
2,6800	0,130
2,7200	0,141
2,7600	0,149
2,8000	0,156
2,8400	0,157
2,8800	0,156
2,9200	0,151
2,9600	0,143
3,0000	0,132
3,0400	0,118
3,0800	0,099
3,1200	0,079
3,1600	0,055
3,2000	0,030
3,2400	0,003
3,2800	-0,027
3,3200	-0,057
3,3600	-0,086
3,4000	-0,118
3,4400	-0,149
3,4800	-0,179
3,5200	-0,209
3,5600	-0,237
3,6000	-0,264
3,6400	-0,286
3,6800	-0,306
3,7200	-0,324
3,7600	-0,336
3,8000	-0,346
3,8400	-0,350
3,8800	-0,350
3,9200	-0,347
3,9600	-0,338
4,0000	-0,325
4,0400	-0,308
4,0800	-0,286
4,1200	-0,261
4,1600	-0,231
4,2000	-0,199
4,2400	-0,165
4,2800	-0,129
4,3200	-0,090
4,3600	-0,052
4,4000	-0,011
4,4400	0,027
4,4800	0,064
4,5200	0,101
4,5600	0,135
4,6000	0,167
4,6400	0,193
4,6800	0,217
4,7200	0,234
4,7600	0,248
4,8000	0,256
4,8400	0,258
4,8800	0,254
4,9200	0,245
4,9600	0,231
5,0000	0,210
5,0400	0,184
5,0800	0,154
5,1200	0,118
5,1600	0,080
5,2000	0,038
5,2400	-0,008
5,2800	-0,053
5,3200	-0,102
5,3600	-0,149
5,4000	-0,196
5,4400	-0,242
5,4800	-0,284
5,5200	-0,325
5,5600	-0,361
5,6000	-0,393
5,6400	-0,418
5,6800	-0,438
5,7200	-0,452
5,7600	-0,460
5,8000	-0,460
5,8400	-0,454
5,8800	-0,440
5,9200	-0,419
5,9600	-0,393
6,0000	-0,360
6,0400	-0,322
