Angular Position, Run #49
Time ( s )	Angular Position ( rad )
0,0000	-0,002
0,0400	-0,003
0,0800	-0,006
0,1200	-0,009
0,1600	-0,014
0,2000	-0,017
0,2400	-0,022
0,2800	-0,027
0,3200	-0,033
0,3600	-0,038
0,4000	-0,044
0,4400	-0,050
0,4800	-0,057
0,5200	-0,063
0,5600	-0,069
0,6000	-0,075
0,6400	-0,083
0,6800	-0,090
0,7200	-0,096
0,7600	-0,104
0,8000	-0,110
0,8400	-0,118
0,8800	-0,124
0,9200	-0,132
0,9600	-0,138
1,0000	-0,146
1,0400	-0,152
1,0800	-0,159
1,1200	-0,165
1,1600	-0,171
1,2000	-0,176
1,2400	-0,182
1,2800	-0,187
1,3200	-0,192
1,3600	-0,196
1,4000	-0,199
1,4400	-0,203
1,4800	-0,206
1,5200	-0,209
1,5600	-0,210
1,6000	-0,212
1,6400	-0,214
1,6800	-0,214
1,7200	-0,214
1,7600	-0,214
1,8000	-0,214
1,8400	-0,214
1,8800	-0,212
1,9200	-0,210
1,9600	-0,209
2,0000	-0,207
2,0400	-0,206
2,0800	-0,203
2,1200	-0,201
2,1600	-0,198
2,2000	-0,195
2,2400	-0,192
2,2800	-0,187
2,3200	-0,184
2,3600	-0,179
2,4000	-0,174
2,4400	-0,170
2,4800	-0,163
2,5200	-0,159
2,5600	-0,152
2,6000	-0,145
2,6400	-0,138
2,6800	-0,130
2,7200	-0,123
2,7600	-0,115
2,8000	-0,108
2,8400	-0,099
2,8800	-0,091
2,9200	-0,083
2,9600	-0,075
3,0000	-0,066
3,0400	-0,058
3,0800	-0,050
3,1200	-0,044
3,1600	-0,036
3,2000	-0,030
3,2400	-0,024
3,2800	-0,019
3,3200	-0,014
3,3600	-0,009
3,4000	-0,005
3,4400	-0,002
3,4800	0,000
3,5200	0,002
3,5600	0,003
3,6000	0,003
3,6400	0,003
3,6800	0,003
3,7200	0,002
3,7600	-0,002
3,8000	-0,003
3,8400	-0,006
3,8800	-0,009
3,9200	-0,014
3,9600	-0,019
4,0000	-0,024
4,0400	-0,028
4,0800	-0,035
4,1200	-0,039
4,1600	-0,046
4,2000	-0,052
4,2400	-0,058
4,2800	-0,064
4,3200	-0,071
4,3600	-0,077
4,4000	-0,085
4,4400	-0,091
4,4800	-0,097
4,5200	-0,105
4,5600	-0,112
4,6000	-0,119
4,6400	-0,126
4,6800	-0,134
4,7200	-0,140
4,7600	-0,146
4,8000	-0,152
4,8400	-0,159
4,8800	-0,165
4,9200	-0,171
4,9600	-0,176
5,0000	-0,182
5,0400	-0,187
5,0800	-0,190
5,1200	-0,195
5,1600	-0,198
5,2000	-0,203
5,2400	-0,204
5,2800	-0,207
5,3200	-0,209
5,3600	-0,210
5,4000	-0,212
5,4400	-0,212
5,4800	-0,214
5,5200	-0,214
5,5600	-0,214
5,6000	-0,212
5,6400	-0,210
5,6800	-0,210
5,7200	-0,209
5,7600	-0,207
5,8000	-0,204
5,8400	-0,203
5,8800	-0,201
5,9200	-0,198
5,9600	-0,195
6,0000	-0,192
6,0400	-0,187
6,0800	-0,184
6,1200	-0,179
6,1600	-0,174
6,2000	-0,168
6,2400	-0,163
6,2800	-0,157
6,3200	-0,151
6,3600	-0,143
6,4000	-0,137
6,4400	-0,129
6,4800	-0,121
6,5200	-0,113
6,5600	-0,105
6,6000	-0,096
6,6400	-0,088
6,6800	-0,080
6,7200	-0,071
6,7600	-0,063
6,8000	-0,055
6,8400	-0,047
6,8800	-0,041
6,9200	-0,033
6,9600	-0,027
7,0000	-0,020
7,0400	-0,016
7,0800	-0,011
7,1200	-0,006
7,1600	-0,003
7,2000	0,000
7,2400	0,002
7,2800	0,003
7,3200	0,005
7,3600	0,005
7,4000	0,005
7,4400	0,003
7,4800	0,002
7,5200	-0,002
7,5600	-0,005
7,6000	-0,008
7,6400	-0,011
7,6800	-0,016
7,7200	-0,020
7,7600	-0,025
7,8000	-0,031
7,8400	-0,036
7,8800	-0,042
7,9200	-0,049
7,9600	-0,053
8,0000	-0,060
8,0400	-0,068
8,0800	-0,074
8,1200	-0,080
8,1600	-0,086
8,2000	-0,094
8,2400	-0,101
8,2800	-0,108
8,3200	-0,115
8,3600	-0,123
8,4000	-0,129
8,4400	-0,135
8,4800	-0,143
8,5200	-0,149
8,5600	-0,156
8,6000	-0,162
8,6400	-0,168
8,6800	-0,174
8,7200	-0,179
8,7600	-0,184
8,8000	-0,190
8,8400	-0,193
8,8800	-0,198
8,9200	-0,201
8,9600	-0,204
9,0000	-0,207
9,0400	-0,210
9,0800	-0,212
9,1200	-0,214
9,1600	-0,215
9,2000	-0,215
9,2400	-0,215
9,2800	-0,215
9,3200	-0,215
9,3600	-0,214
9,4000	-0,214
9,4400	-0,210
9,4800	-0,209
9,5200	-0,207
9,5600	-0,204
9,6000	-0,203
9,6400	-0,199
9,6800	-0,196
9,7200	-0,193
9,7600	-0,188
9,8000	-0,184
9,8400	-0,179
9,8800	-0,174
9,9200	-0,170
9,9600	-0,165
10,0000	-0,159
10,0400	-0,152
10,0800	-0,146
10,1200	-0,138
10,1600	-0,130
10,2000	-0,124
10,2400	-0,116
10,2800	-0,108
