Angular Position, Run #51
Time ( s )	Angular Position ( rad )
0,0000	0,016
0,0400	0,009
0,0800	0,003
0,1200	-0,006
0,1600	-0,014
0,2000	-0,024
0,2400	-0,035
0,2800	-0,046
0,3200	-0,057
0,3600	-0,068
0,4000	-0,080
0,4400	-0,094
0,4800	-0,107
0,5200	-0,121
0,5600	-0,134
0,6000	-0,148
0,6400	-0,160
0,6800	-0,173
0,7200	-0,185
0,7600	-0,198
0,8000	-0,209
0,8400	-0,218
0,8800	-0,228
0,9200	-0,236
0,9600	-0,243
1,0000	-0,248
1,0400	-0,253
1,0800	-0,256
1,1200	-0,258
1,1600	-0,259
1,2000	-0,258
1,2400	-0,256
1,2800	-0,251
1,3200	-0,247
1,3600	-0,240
1,4000	-0,234
1,4400	-0,226
1,4800	-0,217
1,5200	-0,206
1,5600	-0,196
1,6000	-0,184
1,6400	-0,171
1,6800	-0,159
1,7200	-0,146
1,7600	-0,134
1,8000	-0,119
1,8400	-0,105
1,8800	-0,093
1,9200	-0,079
1,9600	-0,066
2,0000	-0,053
2,0400	-0,041
2,0800	-0,030
2,1200	-0,020
2,1600	-0,009
2,2000	-0,002
2,2400	0,006
2,2800	0,013
2,3200	0,019
2,3600	0,024
2,4000	0,027
2,4400	0,028
2,4800	0,030
2,5200	0,030
2,5600	0,028
2,6000	0,025
2,6400	0,020
2,6800	0,016
2,7200	0,009
2,7600	0,003
2,8000	-0,006
2,8400	-0,014
2,8800	-0,024
2,9200	-0,035
2,9600	-0,046
3,0000	-0,057
3,0400	-0,069
3,0800	-0,082
3,1200	-0,094
3,1600	-0,107
3,2000	-0,121
3,2400	-0,134
3,2800	-0,148
3,3200	-0,160
3,3600	-0,173
3,4000	-0,185
3,4400	-0,198
3,4800	-0,209
3,5200	-0,218
3,5600	-0,228
3,6000	-0,236
3,6400	-0,243
3,6800	-0,248
3,7200	-0,253
3,7600	-0,256
3,8000	-0,258
3,8400	-0,258
3,8800	-0,258
3,9200	-0,254
3,9600	-0,251
4,0000	-0,247
4,0400	-0,240
4,0800	-0,232
4,1200	-0,225
4,1600	-0,215
4,2000	-0,206
4,2400	-0,195
4,2800	-0,184
4,3200	-0,171
4,3600	-0,159
4,4000	-0,146
4,4400	-0,134
4,4800	-0,119
4,5200	-0,107
4,5600	-0,093
4,6000	-0,080
4,6400	-0,066
4,6800	-0,055
4,7200	-0,042
4,7600	-0,031
4,8000	-0,020
4,8400	-0,011
4,8800	-0,002
4,9200	0,005
4,9600	0,013
5,0000	0,017
5,0400	0,022
5,0800	0,025
5,1200	0,028
5,1600	0,028
5,2000	0,028
5,2400	0,028
5,2800	0,025
5,3200	0,020
5,3600	0,016
5,4000	0,009
5,4400	0,003
5,4800	-0,005
5,5200	-0,014
5,5600	-0,022
5,6000	-0,033
5,6400	-0,044
5,6800	-0,055
5,7200	-0,068
5,7600	-0,080
5,8000	-0,093
5,8400	-0,107
5,8800	-0,119
5,9200	-0,134
5,9600	-0,146
6,0000	-0,160
6,0400	-0,173
6,0800	-0,185
