Angular Position, Run #59
Time ( s )	Angular Position ( rad )
0,0000	0,016
0,0400	0,011
0,0800	0,005
0,1200	-0,002
0,1600	-0,009
0,2000	-0,016
0,2400	-0,024
0,2800	-0,031
0,3200	-0,039
0,3600	-0,047
0,4000	-0,055
0,4400	-0,063
0,4800	-0,072
0,5200	-0,080
0,5600	-0,088
0,6000	-0,096
0,6400	-0,104
0,6800	-0,112
0,7200	-0,118
0,7600	-0,126
0,8000	-0,132
0,8400	-0,138
0,8800	-0,145
0,9200	-0,149
0,9600	-0,154
1,0000	-0,159
1,0400	-0,163
1,0800	-0,167
1,1200	-0,170
1,1600	-0,173
1,2000	-0,174
1,2400	-0,176
1,2800	-0,178
1,3200	-0,178
1,3600	-0,178
1,4000	-0,178
1,4400	-0,178
1,4800	-0,178
1,5200	-0,176
1,5600	-0,174
1,6000	-0,173
1,6400	-0,173
1,6800	-0,170
1,7200	-0,168
1,7600	-0,165
1,8000	-0,162
1,8400	-0,159
1,8800	-0,156
1,9200	-0,152
1,9600	-0,148
2,0000	-0,143
2,0400	-0,138
2,0800	-0,134
2,1200	-0,129
2,1600	-0,123
2,2000	-0,116
2,2400	-0,110
2,2800	-0,104
2,3200	-0,097
2,3600	-0,091
2,4000	-0,083
2,4400	-0,077
2,4800	-0,071
2,5200	-0,063
2,5600	-0,055
2,6000	-0,049
2,6400	-0,041
2,6800	-0,035
2,7200	-0,027
2,7600	-0,020
2,8000	-0,013
2,8400	-0,006
2,8800	0,000
2,9200	0,006
2,9600	0,013
3,0000	0,017
3,0400	0,024
3,0800	0,028
3,1200	0,031
3,1600	0,035
3,2000	0,038
3,2400	0,039
3,2800	0,041
3,3200	0,041
3,3600	0,041
3,4000	0,039
3,4400	0,038
3,4800	0,035
3,5200	0,033
3,5600	0,028
3,6000	0,024
3,6400	0,019
3,6800	0,013
3,7200	0,006
3,7600	0,000
3,8000	-0,006
3,8400	-0,014
3,8800	-0,022
3,9200	-0,030
3,9600	-0,038
4,0000	-0,047
4,0400	-0,055
4,0800	-0,063
4,1200	-0,072
4,1600	-0,080
4,2000	-0,088
4,2400	-0,096
4,2800	-0,104
4,3200	-0,112
4,3600	-0,118
4,4000	-0,124
4,4400	-0,130
4,4800	-0,137
4,5200	-0,143
4,5600	-0,148
4,6000	-0,152
4,6400	-0,156
4,6800	-0,160
4,7200	-0,163
4,7600	-0,167
4,8000	-0,168
4,8400	-0,170
4,8800	-0,173
4,9200	-0,173
4,9600	-0,174
5,0000	-0,174
5,0400	-0,174
5,0800	-0,174
5,1200	-0,174
5,1600	-0,173
5,2000	-0,173
5,2400	-0,171
5,2800	-0,170
5,3200	-0,168
5,3600	-0,167
5,4000	-0,165
5,4400	-0,163
5,4800	-0,160
5,5200	-0,157
5,5600	-0,154
5,6000	-0,151
5,6400	-0,148
5,6800	-0,143
5,7200	-0,138
5,7600	-0,134
5,8000	-0,129
5,8400	-0,123
5,8800	-0,116
5,9200	-0,110
5,9600	-0,104
6,0000	-0,096
6,0400	-0,088
6,0800	-0,082
6,1200	-0,074
6,1600	-0,066
6,2000	-0,058
6,2400	-0,050
6,2800	-0,044
6,3200	-0,036
6,3600	-0,028
6,4000	-0,022
6,4400	-0,014
6,4800	-0,008
6,5200	-0,002
6,5600	0,005
6,6000	0,011
6,6400	0,016
6,6800	0,022
6,7200	0,027
6,7600	0,030
6,8000	0,033
6,8400	0,035
6,8800	0,038
6,9200	0,039
6,9600	0,039
7,0000	0,039
7,0400	0,038
7,0800	0,036
7,1200	0,035
7,1600	0,031
7,2000	0,028
7,2400	0,025
7,2800	0,020
7,3200	0,016
7,3600	0,009
7,4000	0,005
7,4400	-0,002
7,4800	-0,008
7,5200	-0,016
7,5600	-0,022
7,6000	-0,030
7,6400	-0,038
7,6800	-0,046
7,7200	-0,053
7,7600	-0,061
7,8000	-0,069
7,8400	-0,077
7,8800	-0,085
7,9200	-0,091
7,9600	-0,099
8,0000	-0,107
8,0400	-0,113
8,0800	-0,119
8,1200	-0,126
8,1600	-0,132
8,2000	-0,138
8,2400	-0,143
8,2800	-0,148
8,3200	-0,152
8,3600	-0,157
8,4000	-0,160
8,4400	-0,163
8,4800	-0,167
8,5200	-0,170
8,5600	-0,171
8,6000	-0,173
8,6400	-0,174
8,6800	-0,174
8,7200	-0,174
8,7600	-0,174
8,8000	-0,174
8,8400	-0,174
8,8800	-0,174
8,9200	-0,173
8,9600	-0,173
9,0000	-0,171
9,0400	-0,168
9,0800	-0,167
9,1200	-0,165
9,1600	-0,162
9,2000	-0,159
9,2400	-0,156
9,2800	-0,152
9,3200	-0,149
9,3600	-0,145
9,4000	-0,140
9,4400	-0,135
9,4800	-0,130
9,5200	-0,124
9,5600	-0,118
9,6000	-0,112
9,6400	-0,105
9,6800	-0,099
9,7200	-0,093
9,7600	-0,085
9,8000	-0,079
9,8400	-0,072
9,8800	-0,064
9,9200	-0,057
9,9600	-0,050
10,0000	-0,042
10,0400	-0,035
10,0800	-0,028
10,1200	-0,022
10,1600	-0,014
10,2000	-0,008
10,2400	-0,002
10,2800	0,005
10,3200	0,011
10,3600	0,016
10,4000	0,022
10,4400	0,027
10,4800	0,030
10,5200	0,033
10,5600	0,036
10,6000	0,038
10,6400	0,039
10,6800	0,039
