Angular Position, Run #63
Time ( s )	Angular Position ( rad )
0,0000	0,041
0,0400	0,027
0,0800	0,011
0,1200	-0,008
0,1600	-0,027
0,2000	-0,047
0,2400	-0,069
0,2800	-0,090
0,3200	-0,112
0,3600	-0,134
0,4000	-0,157
0,4400	-0,178
0,4800	-0,198
0,5200	-0,218
0,5600	-0,236
0,6000	-0,253
0,6400	-0,267
0,6800	-0,280
0,7200	-0,289
0,7600	-0,297
0,8000	-0,303
0,8400	-0,306
0,8800	-0,306
0,9200	-0,303
0,9600	-0,298
1,0000	-0,291
1,0400	-0,283
1,0800	-0,270
1,1200	-0,256
1,1600	-0,240
1,2000	-0,223
1,2400	-0,206
1,2800	-0,185
1,3200	-0,165
1,3600	-0,145
1,4000	-0,123
1,4400	-0,102
1,4800	-0,080
1,5200	-0,060
1,5600	-0,039
1,6000	-0,020
1,6400	-0,002
1,6800	0,014
1,7200	0,030
1,7600	0,044
1,8000	0,055
1,8400	0,064
1,8800	0,072
1,9200	0,077
1,9600	0,080
2,0000	0,080
2,0400	0,077
2,0800	0,072
2,1200	0,066
2,1600	0,057
2,2000	0,044
2,2400	0,030
2,2800	0,014
2,3200	-0,003
2,3600	-0,022
2,4000	-0,041
2,4400	-0,063
2,4800	-0,083
2,5200	-0,105
2,5600	-0,127
2,6000	-0,151
2,6400	-0,171
2,6800	-0,192
2,7200	-0,212
2,7600	-0,231
2,8000	-0,247
2,8400	-0,262
2,8800	-0,275
2,9200	-0,286
2,9600	-0,295
3,0000	-0,302
3,0400	-0,305
3,0800	-0,305
3,1200	-0,303
3,1600	-0,300
3,2000	-0,294
3,2400	-0,284
3,2800	-0,273
3,3200	-0,261
3,3600	-0,245
3,4000	-0,228
3,4400	-0,210
3,4800	-0,192
3,5200	-0,171
3,5600	-0,151
3,6000	-0,130
3,6400	-0,108
3,6800	-0,088
3,7200	-0,066
3,7600	-0,046
3,8000	-0,027
3,8400	-0,008
3,8800	0,009
3,9200	0,025
3,9600	0,039
4,0000	0,052
4,0400	0,063
4,0800	0,071
4,1200	0,075
4,1600	0,080
4,2000	0,080
4,2400	0,079
4,2800	0,075
4,3200	0,069
4,3600	0,060
4,4000	0,049
4,4400	0,036
4,4800	0,020
4,5200	0,003
4,5600	-0,016
4,6000	-0,035
4,6400	-0,055
4,6800	-0,077
4,7200	-0,099
4,7600	-0,121
4,8000	-0,143
4,8400	-0,165
4,8800	-0,187
4,9200	-0,206
4,9600	-0,226
5,0000	-0,243
5,0400	-0,258
5,0800	-0,272
5,1200	-0,284
5,1600	-0,294
5,2000	-0,300
5,2400	-0,303
5,2800	-0,306
5,3200	-0,305
5,3600	-0,302
5,4000	-0,295
5,4400	-0,287
5,4800	-0,276
5,5200	-0,264
5,5600	-0,250
5,6000	-0,232
5,6400	-0,215
5,6800	-0,196
5,7200	-0,176
5,7600	-0,156
5,8000	-0,135
5,8400	-0,113
5,8800	-0,093
5,9200	-0,071
5,9600	-0,050
6,0000	-0,031
6,0400	-0,013
6,0800	0,006
6,1200	0,022
6,1600	0,036
6,2000	0,049
6,2400	0,060
6,2800	0,069
6,3200	0,075
6,3600	0,079
6,4000	0,080
6,4400	0,080
6,4800	0,075
6,5200	0,069
6,5600	0,061
6,6000	0,050
6,6400	0,038
6,6800	0,024
6,7200	0,008
6,7600	-0,011
6,8000	-0,030
6,8400	-0,050
6,8800	-0,071
6,9200	-0,093
6,9600	-0,115
7,0000	-0,137
7,0400	-0,159
7,0800	-0,179
7,1200	-0,199
7,1600	-0,220
7,2000	-0,237
7,2400	-0,253
7,2800	-0,267
7,3200	-0,280
7,3600	-0,289
7,4000	-0,297
7,4400	-0,302
7,4800	-0,305
7,5200	-0,305
7,5600	-0,303
7,6000	-0,297
7,6400	-0,289
7,6800	-0,280
7,7200	-0,269
7,7600	-0,253
7,8000	-0,239
7,8400	-0,220
7,8800	-0,201
7,9200	-0,182
7,9600	-0,162
8,0000	-0,141
8,0400	-0,119
8,0800	-0,097
8,1200	-0,077
8,1600	-0,057
8,2000	-0,036
8,2400	-0,017
8,2800	0,000
8,3200	0,017
8,3600	0,033
8,4000	0,046
8,4400	0,057
8,4800	0,068
8,5200	0,074
8,5600	0,079
8,6000	0,080
8,6400	0,080
8,6800	0,077
8,7200	0,072
8,7600	0,064
8,8000	0,055
8,8400	0,042
8,8800	0,028
8,9200	0,013
8,9600	-0,006
9,0000	-0,025
9,0400	-0,046
9,0800	-0,066
9,1200	-0,088
9,1600	-0,110
9,2000	-0,132
9,2400	-0,154
9,2800	-0,176
9,3200	-0,196
9,3600	-0,215
9,4000	-0,234
9,4400	-0,251
9,4800	-0,265
9,5200	-0,278
9,5600	-0,289
9,6000	-0,297
9,6400	-0,302
9,6800	-0,305
9,7200	-0,306
9,7600	-0,303
9,8000	-0,300
9,8400	-0,292
9,8800	-0,283
9,9200	-0,272
9,9600	-0,258
10,0000	-0,242
10,0400	-0,225
10,0800	-0,206
10,1200	-0,187
10,1600	-0,165
10,2000	-0,145
10,2400	-0,123
10,2800	-0,102
10,3200	-0,080
10,3600	-0,060
10,4000	-0,039
10,4400	-0,020
10,4800	-0,002
10,5200	0,016
10,5600	0,031
10,6000	0,044
10,6400	0,057
10,6800	0,066
10,7200	0,072
