Angular Position, Run #64
Time ( s )	Angular Position ( rad )
0,0000	0,085
0,0400	0,066
0,0800	0,044
0,1200	0,019
0,1600	-0,008
0,2000	-0,036
0,2400	-0,066
0,2800	-0,096
0,3200	-0,127
0,3600	-0,157
0,4000	-0,187
0,4400	-0,217
0,4800	-0,243
0,5200	-0,269
0,5600	-0,292
0,6000	-0,311
0,6400	-0,328
0,6800	-0,342
0,7200	-0,353
0,7600	-0,360
0,8000	-0,363
0,8400	-0,363
0,8800	-0,357
0,9200	-0,349
0,9600	-0,338
1,0000	-0,322
1,0400	-0,303
1,0800	-0,281
1,1200	-0,258
1,1600	-0,231
1,2000	-0,204
1,2400	-0,174
1,2800	-0,145
1,3200	-0,115
1,3600	-0,085
1,4000	-0,055
1,4400	-0,027
1,4800	0,002
1,5200	0,027
1,5600	0,050
1,6000	0,071
1,6400	0,090
1,6800	0,104
1,7200	0,115
1,7600	0,124
1,8000	0,127
1,8400	0,129
1,8800	0,126
1,9200	0,119
1,9600	0,108
2,0000	0,096
2,0400	0,079
2,0800	0,058
2,1200	0,036
2,1600	0,013
2,2000	-0,014
2,2400	-0,042
2,2800	-0,071
2,3200	-0,101
2,3600	-0,130
2,4000	-0,160
2,4400	-0,188
2,4800	-0,217
2,5200	-0,243
2,5600	-0,267
2,6000	-0,289
2,6400	-0,308
2,6800	-0,325
2,7200	-0,338
2,7600	-0,349
2,8000	-0,355
2,8400	-0,357
2,8800	-0,357
2,9200	-0,352
2,9600	-0,342
3,0000	-0,331
3,0400	-0,316
3,0800	-0,298
3,1200	-0,276
3,1600	-0,254
3,2000	-0,229
3,2400	-0,201
3,2800	-0,174
3,3200	-0,145
3,3600	-0,115
3,4000	-0,086
3,4400	-0,057
3,4800	-0,030
3,5200	-0,003
3,5600	0,022
3,6000	0,044
3,6400	0,064
3,6800	0,083
3,7200	0,097
3,7600	0,108
3,8000	0,116
3,8400	0,119
3,8800	0,121
3,9200	0,118
3,9600	0,112
4,0000	0,102
4,0400	0,088
4,0800	0,072
4,1200	0,053
4,1600	0,033
4,2000	0,009
4,2400	-0,017
4,2800	-0,044
4,3200	-0,071
4,3600	-0,099
4,4000	-0,129
4,4400	-0,157
4,4800	-0,185
4,5200	-0,214
4,5600	-0,239
4,6000	-0,262
4,6400	-0,284
4,6800	-0,303
4,7200	-0,320
4,7600	-0,333
4,8000	-0,344
4,8400	-0,350
4,8800	-0,352
4,9200	-0,352
4,9600	-0,347
5,0000	-0,338
5,0400	-0,327
5,0800	-0,313
5,1200	-0,294
5,1600	-0,275
5,2000	-0,251
5,2400	-0,226
5,2800	-0,201
5,3200	-0,173
5,3600	-0,145
5,4000	-0,116
5,4400	-0,088
5,4800	-0,060
5,5200	-0,033
5,5600	-0,008
5,6000	0,017
5,6400	0,039
5,6800	0,058
5,7200	0,075
5,7600	0,090
5,8000	0,101
5,8400	0,108
5,8800	0,112
5,9200	0,113
5,9600	0,110
6,0000	0,104
6,0400	0,094
6,0800	0,082
6,1200	0,066
6,1600	0,047
6,2000	0,027
6,2400	0,005
6,2800	-0,019
6,3200	-0,044
6,3600	-0,072
6,4000	-0,099
6,4400	-0,127
6,4800	-0,156
6,5200	-0,182
6,5600	-0,209
6,6000	-0,234
6,6400	-0,258
6,6800	-0,278
6,7200	-0,298
6,7600	-0,314
6,8000	-0,327
6,8400	-0,338
6,8800	-0,344
6,9200	-0,347
6,9600	-0,347
7,0000	-0,344
7,0400	-0,336
7,0800	-0,325
7,1200	-0,313
7,1600	-0,295
7,2000	-0,276
7,2400	-0,254
7,2800	-0,231
7,3200	-0,204
7,3600	-0,178
7,4000	-0,149
7,4400	-0,121
7,4800	-0,093
7,5200	-0,064
7,5600	-0,038
7,6000	-0,013
7,6400	0,013
7,6800	0,035
7,7200	0,055
7,7600	0,072
7,8000	0,086
7,8400	0,099
7,8800	0,107
7,9200	0,112
7,9600	0,113
8,0000	0,112
8,0400	0,105
8,0800	0,096
8,1200	0,085
8,1600	0,069
8,2000	0,052
8,2400	0,031
8,2800	0,009
8,3200	-0,014
8,3600	-0,041
8,4000	-0,068
8,4400	-0,094
8,4800	-0,124
8,5200	-0,151
8,5600	-0,179
8,6000	-0,206
8,6400	-0,232
8,6800	-0,256
8,7200	-0,278
8,7600	-0,297
8,8000	-0,314
8,8400	-0,328
8,8800	-0,339
8,9200	-0,346
8,9600	-0,349
9,0000	-0,350
9,0400	-0,346
9,0800	-0,338
9,1200	-0,328
9,1600	-0,314
9,2000	-0,297
9,2400	-0,278
9,2800	-0,256
9,3200	-0,231
9,3600	-0,206
9,4000	-0,178
9,4400	-0,149
9,4800	-0,121
9,5200	-0,093
9,5600	-0,064
9,6000	-0,038
9,6400	-0,011
9,6800	0,014
9,7200	0,036
9,7600	0,057
9,8000	0,075
9,8400	0,090
9,8800	0,102
9,9200	0,110
9,9600	0,115
10,0000	0,116
10,0400	0,115
10,0800	0,108
10,1200	0,099
10,1600	0,086
10,2000	0,071
10,2400	0,053
10,2800	0,033
10,3200	0,009
10,3600	-0,014
