t	Temperature 
t/s	T/°C

0,000	20,8
0,000	21,3
5,000	20,7
10,000	20,7
15,000	20,7
20,000	20,7
25,000	20,7
30,000	20,6
35,000	20,6
40,000	20,6
45,000	20,6
50,000	20,4
55,000	20,3
60,000	20,1
65,000	20,1
70,000	20,1
75,000	20,0
80,000	20,0
85,000	20,0
90,000	19,9
95,000	19,9
100,000	19,8
105,000	19,8
110,000	19,7
115,000	19,7
120,000	19,7
125,000	19,7
130,000	19,6
135,000	19,6
140,000	19,6
145,000	19,6
150,000	19,8
155,000	20,5
160,000	20,6
165,000	20,7
170,000	20,7
175,000	20,7
180,000	20,7
185,000	20,7
190,000	20,7
195,000	20,7
200,000	20,7
205,000	20,7
210,000	20,7
215,000	20,7
220,000	20,7
225,000	20,7
230,000	20,7
235,000	20,7
240,000	20,7
245,000	20,7
250,000	20,7
255,000	20,7
260,000	20,7
265,000	20,7
270,000	20,7
275,000	20,7
280,000	20,7
285,000	20,7
290,000	20,7
295,000	20,7
300,000	20,7
305,000	20,7
310,000	20,7
315,000	20,7
320,000	20,7
325,000	20,7
330,000	20,7
335,000	20,6
340,000	24,8
345,000	25,9
350,000	26,3
355,000	26,5
360,000	26,5
365,000	26,6
370,000	26,6
375,000	26,5
380,000	26,6
385,000	26,6
390,000	26,6
395,000	26,5
400,000	26,5
405,000	26,5
410,000	24,8
415,000	22,5
420,000	21,7
425,000	21,3
430,000	21,1
435,000	21,0
440,000	20,9
445,000	20,9
450,000	20,9
455,000	20,8
460,000	20,8
465,000	20,8
470,000	20,8
475,000	22,3
480,000	22,8
485,000	22,9
490,000	22,9
495,000	22,9
500,000	23,0
505,000	23,0
510,000	23,0
515,000	23,0
520,000	23,0
525,000	23,0
530,000	23,0
535,000	23,0
540,000	23,0
545,000	23,0
550,000	22,9
555,000	23,0
560,000	23,0
565,000	22,8
570,000	22,3
575,000	21,8
580,000	21,5
585,000	21,3
590,000	21,2
595,000	21,0
600,000	21,0
605,000	20,9
610,000	20,9
615,000	20,9
620,000	20,8
625,000	20,8
630,000	20,8
635,000	20,7
640,000	20,7
645,000	20,7
650,000	20,7
655,000	20,7
660,000	20,7
665,000	20,6
670,000	20,6
675,000	20,6
680,000	20,6
685,000	20,6
690,000	20,6
695,000	20,6
700,000	20,5
705,000	20,5
710,000	20,5
715,000	20,6
720,000	20,6
725,000	20,5
730,000	20,5
735,000	20,5
740,000	20,5
745,000	20,5
750,000	20,5
755,000	20,5
760,000	20,5
765,000	20,5
770,000	20,5
775,000	20,5
780,000	20,6
785,000	21,1
790,000	21,6
795,000	21,7
800,000	21,8
805,000	21,8
810,000	21,8
815,000	21,8
820,000	21,8
825,000	21,8
830,000	21,8
835,000	21,8
840,000	21,9
845,000	30,8
850,000	38,9
855,000	41,1
860,000	41,8
865,000	42,0
870,000	42,1
875,000	42,1
880,000	42,1
885,000	42,1
890,000	42,0
895,000	41,9
