t	Temperature 
t/s	T/°C

0,000	25,6
0,000	25,6
5,000	25,6
10,000	25,6
15,000	25,6
20,000	25,5
25,000	25,5
30,000	25,6
35,000	25,6
40,000	25,6
45,000	25,2
50,000	22,7
55,000	19,1
60,000	19,1
65,000	20,1
70,000	21,1
75,000	21,8
80,000	22,2
85,000	22,3
90,000	22,4
95,000	22,5
100,000	22,5
105,000	22,5
110,000	22,5
115,000	22,6
120,000	22,6
125,000	22,5
130,000	22,6
135,000	22,5
140,000	22,5
145,000	22,5
150,000	22,5
155,000	22,5
160,000	22,5
165,000	22,5
170,000	22,5
175,000	22,5
180,000	22,5
185,000	22,5
190,000	22,5
195,000	22,5
200,000	22,6
205,000	22,5
210,000	22,5
215,000	22,5
220,000	22,5
225,000	22,5
230,000	22,6
235,000	22,6
240,000	22,6
245,000	22,5
250,000	22,6
