t	Temperature 
t/s	T/°C

0,000	14,9
0,000	14,9
5,000	14,9
10,000	14,9
15,000	14,9
20,000	14,9
25,000	14,9
30,000	14,9
35,000	14,9
40,000	14,9
45,000	14,9
50,000	14,9
55,000	14,9
60,000	14,9
65,000	14,9
70,000	14,9
75,000	14,9
80,000	14,9
85,000	14,9
90,000	14,9
95,000	14,9
100,000	14,9
105,000	14,9
110,000	14,9
115,000	14,9
120,000	14,9
125,000	14,9
130,000	14,9
135,000	14,9
140,000	14,9
145,000	14,9
150,000	14,9
155,000	14,9
160,000	14,9
165,000	14,9
170,000	14,9
175,000	14,9
180,000	14,9
185,000	14,9
190,000	14,9
195,000	14,9
200,000	14,9
205,000	14,9
210,000	14,9
215,000	14,9
220,000	14,9
225,000	14,9
230,000	14,9
235,000	14,9
240,000	14,9
245,000	14,9
250,000	14,9
255,000	14,9
260,000	14,9
265,000	14,9
270,000	14,9
275,000	15,0
280,000	14,9
285,000	14,9
290,000	14,9
295,000	15,0
300,000	15,0
305,000	15,0
310,000	15,0
315,000	15,0
320,000	15,0
325,000	15,0
330,000	15,0
335,000	15,0
340,000	15,0
345,000	15,0
350,000	15,0
355,000	15,0
360,000	15,0
365,000	15,0
370,000	15,0
375,000	15,0
380,000	15,0
385,000	15,0
390,000	15,0
395,000	15,0
400,000	15,0
405,000	15,0
410,000	15,1
415,000	15,0
420,000	15,0
425,000	15,1
430,000	15,1
435,000	15,1
440,000	15,1
445,000	15,1
450,000	15,1
455,000	15,1
460,000	15,1
465,000	15,1
470,000	15,1
475,000	15,1
480,000	15,1
485,000	15,1
490,000	15,1
495,000	15,1
500,000	15,1
505,000	15,1
510,000	15,1
515,000	15,1
520,000	15,1
525,000	15,1
530,000	15,1
535,000	15,1
540,000	15,1
545,000	15,1
550,000	15,1
555,000	15,1
560,000	15,1
565,000	15,1
570,000	15,2
575,000	15,2
580,000	15,2
585,000	15,2
590,000	15,2
595,000	15,2
600,000	15,2
605,000	15,2
610,000	15,2
615,000	15,2
620,000	15,2
625,000	15,2
630,000	15,2
635,000	15,2
640,000	15,2
645,000	15,6
650,000	16,4
655,000	17,0
660,000	17,6
665,000	18,3
670,000	18,9
675,000	19,7
680,000	20,1
685,000	20,4
690,000	20,6
695,000	20,7
700,000	20,9
705,000	23,0
710,000	24,3
715,000	25,7
720,000	27,2
725,000	28,2
730,000	28,7
735,000	28,9
740,000	29,3
745,000	29,7
750,000	30,0
755,000	30,2
760,000	30,4
765,000	30,6
770,000	30,7
775,000	30,9
780,000	31,1
785,000	31,2
790,000	31,2
795,000	31,3
800,000	31,4
805,000	31,3
810,000	31,4
815,000	31,4
820,000	31,4
825,000	31,4
830,000	31,6
835,000	31,7
840,000	32,1
845,000	32,4
850,000	32,7
855,000	33,2
860,000	33,4
865,000	34,0
870,000	34,6
875,000	35,2
880,000	36,0
885,000	36,4
890,000	37,2
895,000	37,9
900,000	38,5
905,000	39,3
910,000	40,1
915,000	40,7
920,000	41,2
925,000	42,1
930,000	42,7
935,000	43,6
940,000	44,0
945,000	44,7
950,000	45,5
955,000	46,4
960,000	46,9
965,000	48,1
970,000	49,1
975,000	50,4
980,000	51,6
985,000	52,7
990,000	53,3
995,000	53,8
1000,000	54,2
1005,000	54,6
1010,000	54,9
1015,000	55,3
1020,000	55,4
1025,000	55,8
1030,000	56,1
1035,000	56,3
1040,000	56,5
1045,000	56,7
1050,000	56,9
1055,000	57,0
1060,000	57,1
1065,000	57,3
1070,000	57,3
1075,000	57,3
1080,000	57,4
1085,000	57,4
1090,000	57,4
1095,000	57,4
1100,000	57,4
1105,000	57,4
1110,000	57,4
1115,000	57,6
1120,000	57,8
1125,000	58,1
1130,000	58,2
1135,000	58,5
1140,000	59,0
1145,000	59,3
1150,000	59,9
1155,000	60,4
1160,000	60,7
1165,000	61,3
1170,000	61,7
1175,000	62,2
1180,000	62,6
