Position, Run #10
Time ( s )	Position ( m )
0,0038	1,298
0,1039	1,329
0,2039	1,347
0,3040	1,367
0,4040	1,392
0,5041	1,416
0,6042	1,443
0,7043	1,464
0,8043	1,495
0,9044	1,515
1,0045	1,543
1,1045	1,564
1,2046	1,587
1,3047	1,615
1,4048	1,636
1,5048	1,663
1,6049	1,686
1,7050	1,709
1,8051	1,740
1,9051	1,759
2,0052	1,779
2,1052	1,805
2,2053	1,824
2,3054	1,843
2,4054	1,866
2,5055	1,891
2,6056	1,913
2,7056	1,914
2,8055	1,907
2,9055	1,901
3,0055	1,894
3,1055	1,887
3,2055	1,880
3,3054	1,872
3,4054	1,866
3,5054	1,858
3,6054	1,850
3,7054	1,843
3,8053	1,835
3,9053	1,828
4,0053	1,820
4,1053	1,812
4,2052	1,804
4,3052	1,796
4,4052	1,787
4,5052	1,779
4,6051	1,771
4,7051	1,762
4,8051	1,754
4,9051	1,745
5,0050	1,737
5,1050	1,727
5,2050	1,716
