Position, Run #8
Time ( s )	Position ( m )
0,0040	1,384
0,1041	1,410
0,2042	1,434
0,3042	1,457
0,4043	1,487
0,5044	1,504
0,6044	1,528
0,7045	1,555
0,8046	1,575
0,9046	1,597
1,0047	1,624
1,1048	1,644
1,2048	1,667
1,3049	1,696
1,4050	1,715
1,5051	1,738
1,6051	1,761
1,7052	1,784
1,8053	1,806
1,9053	1,828
2,0054	1,850
2,1054	1,870
2,2055	1,892
2,3056	1,914
2,4056	1,913
2,5055	1,906
2,6055	1,900
2,7055	1,893
2,8055	1,886
2,9055	1,879
3,0054	1,872
3,1054	1,864
3,2054	1,857
3,3054	1,849
3,4053	1,839
3,5053	1,834
3,6053	1,827
3,7053	1,819
3,8053	1,811
3,9052	1,803
4,0052	1,795
4,1052	1,787
4,2052	1,779
4,3051	1,771
4,4051	1,762
4,5051	1,753
4,6051	1,745
4,7050	1,737
4,8050	1,728
4,9050	1,719
5,0050	1,711
5,1049	1,702
5,2049	1,691
5,3049	1,684
