Position2, Run #8
Time ( s )	Position ( m )
0,0505	0,165
0,1505	0,165
0,2505	0,165
0,3505	0,165
0,4505	0,165
0,5505	0,165
0,6505	0,165
0,7505	0,165
0,8505	0,165
0,9505	0,165
1,0505	0,165
1,1505	0,165
1,2505	0,165
1,3505	0,186
1,4507	0,241
1,5509	0,295
1,6510	0,349
1,7512	0,402
1,8513	0,455
1,9514	0,495
2,0515	0,499
2,1514	0,493
2,2514	0,488
2,3514	0,482
2,4514	0,477
2,5514	0,471
2,6514	0,465
2,7513	0,460
2,8513	0,454
2,9513	0,448
3,0513	0,442
3,1513	0,436
3,2512	0,429
3,3512	0,423
3,4512	0,417
3,5512	0,411
3,6512	0,404
3,7512	0,398
3,8511	0,392
3,9511	0,385
4,0511	0,379
4,1511	0,372
4,2511	0,365
4,3510	0,358
4,4510	0,351
4,5510	0,344
4,6510	0,337
4,7510	0,330
4,8509	0,323
4,9509	0,316
5,0509	0,308
5,1509	0,301
5,2509	0,293
5,3508	0,286
5,4508	0,278
5,5508	0,270
5,6508	0,262
5,7507	0,255
5,8507	0,247
5,9507	0,239
6,0507	0,231
6,1506	0,223
6,2506	0,215
6,3506	0,207
6,4506	0,199
6,5506	0,191
6,6505	0,187
6,7505	0,182
6,8505	0,178
6,9505	0,170
7,0505	0,175
7,1505	0,174
7,2505	0,176
7,3505	0,178
7,4505	0,180
7,5505	0,182
