Position, Run #2
Time ( s )	Position ( m )
0,0034	1,179
0,1034	1,179
0,2034	1,179
0,3034	1,179
0,4034	1,179
0,5034	1,179
0,6034	1,179
0,7034	1,179
0,8034	1,179
0,9034	1,179
1,0034	1,179
1,1034	1,179
1,2034	1,179
1,3034	1,179
1,4034	1,179
1,5034	1,179
1,6034	1,179
1,7034	1,179
1,8034	1,179
1,9034	1,179
2,0034	1,179
2,1034	1,179
2,2034	1,179
2,3034	1,179
2,4034	1,179
2,5034	1,179
2,6034	1,179
2,7034	1,179
2,8034	1,179
2,9034	1,179
3,0034	1,179
3,1034	1,179
3,2034	1,179
3,3034	1,179
3,4034	1,179
3,5034	1,179
3,6034	1,179
3,7034	1,179
3,8034	1,179
3,9034	1,179
4,0034	1,179
4,1034	1,179
4,2034	1,179
4,3034	1,179
4,4034	1,179
4,5034	1,179
4,6034	1,179
4,7034	1,179
4,8034	1,179
4,9034	1,179
5,0034	1,179
5,1034	1,179
5,2034	1,179
5,3034	1,179
5,4034	1,179
5,5034	1,179
5,6034	1,179
5,7034	1,179
5,8034	1,179
5,9034	1,179
6,0034	1,179
6,1034	1,179
6,2034	1,179
6,3034	1,179
6,4034	1,179
6,5034	1,179
6,6034	1,179
6,7034	1,179
6,8034	1,179
6,9034	1,179
7,0034	1,179
7,1034	1,179
7,2034	1,179
7,3034	1,161
7,4032	1,105
7,5030	1,045
7,6029	0,985
7,7027	0,926
7,8025	0,868
7,9023	0,808
8,0022	0,750
8,1020	0,691
8,2018	0,633
8,3017	0,575
8,4015	0,518
8,5013	0,461
8,6012	0,405
8,7010	0,349
8,8009	0,293
8,9007	0,238
9,0006	0,194
9,1005	0,165
9,2006	0,202
9,3007	0,250
9,4009	0,302
9,5010	0,353
9,6012	0,405
9,7013	0,457
9,8015	0,509
9,9016	0,562
10,0018	0,614
10,1019	0,667
10,2021	0,719
10,3022	0,772
10,4024	0,824
10,5025	0,877
10,6027	0,929
10,7029	0,982
10,8030	1,034
10,9032	1,087
11,0033	1,140
