Position, Run #1
Time ( s )	Position ( m )
0,0034	1,176
0,1034	1,176
0,2034	1,176
0,3034	1,176
0,4034	1,176
0,5034	1,175
0,6033	1,152
0,7034	1,167
0,8034	1,174
0,9033	1,137
1,0033	1,142
1,1033	1,141
1,2033	1,137
1,3034	1,166
1,4034	1,171
1,5034	1,154
1,6034	1,171
1,7034	1,155
1,8034	1,159
1,9034	1,165
2,0034	1,169
2,1034	1,170
2,2034	1,170
2,3034	1,170
2,4034	1,171
2,5034	1,171
2,6034	1,171
2,7034	1,171
2,8034	1,171
2,9034	1,171
3,0034	1,171
3,1034	1,171
3,2034	1,171
3,3034	1,171
3,4034	1,171
3,5034	1,171
3,6034	1,171
3,7034	1,172
3,8034	1,171
3,9034	1,171
4,0034	1,171
4,1034	1,171
4,2034	1,171
4,3034	1,171
4,4034	1,170
4,5034	1,170
4,6034	1,169
4,7034	1,168
4,8034	1,167
4,9034	1,166
5,0034	1,164
5,1033	1,145
5,2032	1,097
5,3030	1,045
5,4029	0,994
5,5027	0,942
5,6026	0,891
5,7024	0,840
5,8023	0,789
5,9021	0,738
6,0020	0,688
6,1019	0,638
6,2017	0,589
6,3016	0,540
6,4014	0,492
6,5013	0,444
6,6012	0,398
6,7010	0,351
6,8009	0,306
6,9008	0,262
7,0007	0,226
7,1005	0,188
7,2005	0,162
7,3006	0,193
7,4007	0,226
7,5008	0,262
7,6009	0,301
7,7010	0,340
7,8011	0,379
7,9012	0,417
8,0013	0,456
8,1014	0,494
8,2015	0,531
8,3017	0,568
8,4018	0,605
8,5019	0,642
8,6020	0,679
8,7021	0,716
8,8022	0,752
8,9023	0,789
9,0024	0,825
9,1025	0,862
