Position2, Run #10
Time ( s )	Position ( m )
0,0505	0,176
0,1505	0,176
0,2505	0,176
0,3505	0,176
0,4505	0,176
0,5505	0,176
0,6505	0,176
0,7505	0,176
0,8505	0,176
0,9505	0,176
1,0505	0,176
1,1505	0,176
1,2505	0,176
1,3505	0,176
1,4505	0,176
1,5505	0,176
1,6505	0,176
1,7505	0,176
1,8505	0,176
1,9505	0,176
2,0505	0,176
2,1505	0,176
2,2505	0,176
2,3505	0,176
2,4505	0,176
2,5505	0,176
2,6505	0,176
2,7505	0,176
2,8505	0,176
2,9505	0,176
3,0505	0,185
3,1507	0,230
3,2508	0,268
3,3509	0,318
3,4511	0,367
3,5512	0,415
3,6513	0,464
3,7515	0,512
3,8516	0,561
3,9518	0,611
4,0519	0,660
4,1520	0,703
4,2521	0,721
4,3521	0,728
4,4521	0,733
4,5521	0,737
4,6522	0,742
4,7522	0,746
4,8522	0,751
4,9522	0,755
5,0522	0,759
5,1522	0,764
5,2522	0,768
5,3522	0,772
5,4523	0,776
5,5523	0,780
5,6523	0,784
5,7523	0,788
5,8523	0,793
5,9523	0,797
6,0523	0,800
6,1523	0,805
6,2523	0,808
6,3524	0,812
6,4524	0,816
6,5524	0,820
6,6524	0,823
6,7524	0,827
6,8524	0,833
6,9524	0,834
7,0524	0,838
7,1525	0,844
7,2525	0,847
7,3525	0,851
7,4525	0,854
7,5525	0,858
7,6525	0,861
7,7525	0,864
7,8525	0,865
7,9525	0,868
8,0525	0,872
8,1525	0,875
