Position, Run #1
Time ( s )	Position ( m )
0,0034	1,164
0,1034	1,171
0,2034	1,172
0,3034	1,172
0,4034	1,161
0,5034	1,171
0,6034	1,173
0,7034	1,170
0,8034	1,172
0,9034	1,172
1,0034	1,173
1,1034	1,173
1,2034	1,173
1,3034	1,173
1,4034	1,173
1,5034	1,173
1,6034	1,173
1,7034	1,173
1,8034	1,173
1,9034	1,173
2,0034	1,173
2,1034	1,173
2,2034	1,173
2,3034	1,173
2,4034	1,173
2,5034	1,173
2,6034	1,173
2,7034	1,173
2,8034	1,173
2,9034	1,173
3,0034	1,173
3,1034	1,173
3,2034	1,173
3,3034	1,173
3,4034	1,173
3,5034	1,173
3,6034	1,173
3,7034	1,173
3,8034	1,173
3,9034	1,173
4,0034	1,173
4,1034	1,173
4,2034	1,173
4,3034	1,173
4,4034	1,173
4,5034	1,174
4,6034	1,175
4,7034	1,176
4,8034	1,176
4,9034	1,175
5,0034	1,156
5,1032	1,095
5,2030	1,028
5,3028	0,958
5,4026	0,895
5,5024	0,829
5,6022	0,764
5,7020	0,698
5,8018	0,634
5,9017	0,570
6,0015	0,506
6,1013	0,443
6,2011	0,381
6,3009	0,319
6,4008	0,261
6,5006	0,208
6,6005	0,163
6,7006	0,189
6,8007	0,236
6,9008	0,287
7,0010	0,341
7,1011	0,396
7,2013	0,449
7,3015	0,504
7,4016	0,558
7,5018	0,612
7,6019	0,666
7,7021	0,720
7,8022	0,774
7,9024	0,828
8,0026	0,882
8,1027	0,935
8,2028	0,969
8,3028	0,962
8,4028	0,950
8,5027	0,938
8,6027	0,927
8,7027	0,915
8,8026	0,904
8,9026	0,891
9,0026	0,884
9,1025	0,874
9,2025	0,865
9,3025	0,857
9,4025	0,848
9,5024	0,840
