Position, Run #4
Time ( s )	Position ( m )
0,0034	1,165
0,1034	1,173
0,2034	1,173
0,3034	1,173
0,4034	1,173
0,5034	1,172
0,6034	1,173
0,7034	1,173
0,8034	1,174
0,9034	1,174
1,0034	1,174
1,1034	1,175
1,2034	1,177
1,3034	1,177
1,4034	1,177
1,5034	1,177
1,6034	1,177
1,7034	1,177
1,8034	1,177
1,9034	1,177
2,0034	1,177
2,1034	1,177
2,2034	1,177
2,3034	1,177
2,4034	1,177
2,5034	1,178
2,6034	1,177
2,7034	1,177
2,8034	1,177
2,9034	1,177
3,0034	1,177
3,1034	1,177
3,2034	1,177
3,3034	1,177
3,4034	1,177
3,5034	1,177
3,6034	1,177
3,7034	1,179
3,8034	1,162
3,9034	1,178
4,0033	1,142
4,1031	1,073
4,2029	1,004
4,3027	0,934
4,4025	0,866
4,5023	0,798
4,6021	0,730
4,7019	0,662
4,8017	0,596
4,9015	0,530
5,0013	0,464
5,1012	0,399
5,2010	0,334
5,3008	0,271
5,4006	0,218
5,5005	0,161
5,6005	0,183
5,7007	0,231
5,8008	0,283
5,9010	0,336
6,0011	0,390
6,1013	0,442
6,2014	0,495
6,3016	0,548
6,4017	0,601
6,5019	0,654
