Position2, Run #1
Time ( s )	Position ( m )
0,0504	0,154
0,1505	0,164
0,2505	0,168
0,3505	0,168
0,4505	0,168
0,5505	0,168
0,6505	0,168
0,7505	0,168
0,8505	0,168
0,9505	0,168
1,0505	0,168
1,1505	0,168
1,2505	0,168
1,3505	0,168
1,4505	0,168
1,5505	0,168
1,6505	0,168
1,7505	0,168
1,8505	0,168
1,9505	0,168
2,0505	0,168
2,1505	0,168
2,2505	0,168
2,3505	0,168
2,4505	0,167
2,5505	0,164
2,6505	0,164
2,7505	0,165
2,8505	0,168
2,9505	0,168
3,0505	0,168
3,1505	0,168
3,2505	0,168
3,3505	0,168
3,4505	0,168
3,5505	0,168
3,6505	0,168
3,7505	0,168
3,8505	0,168
3,9505	0,165
4,0505	0,165
4,1506	0,215
4,2508	0,265
4,3510	0,328
4,4511	0,391
4,5513	0,454
4,6515	0,517
4,7517	0,580
4,8519	0,645
4,9520	0,705
5,0521	0,735
5,1522	0,742
5,2522	0,749
5,3522	0,755
5,4522	0,761
5,5522	0,768
5,6523	0,774
5,7523	0,781
5,8523	0,787
5,9523	0,794
6,0523	0,800
6,1523	0,806
6,2524	0,812
6,3524	0,819
6,4524	0,825
6,5524	0,831
6,6524	0,839
6,7525	0,845
6,8525	0,851
6,9525	0,857
7,0525	0,863
7,1525	0,869
7,2525	0,872
7,3526	0,878
7,4526	0,883
7,5526	0,889
7,6526	0,894
7,7526	0,901
7,8526	0,907
7,9527	0,913
8,0527	0,918
8,1527	0,921
8,2526	0,892
8,3525	0,850
8,4523	0,802
8,5522	0,755
8,6521	0,707
8,7519	0,661
8,8518	0,615
8,9516	0,567
9,0515	0,521
9,1514	0,476
9,2513	0,430
9,3511	0,386
9,4510	0,341
