Position2, Run #8
Time ( s )	Position ( m )
0,0505	0,171
0,1505	0,172
0,2505	0,172
0,3505	0,172
0,4505	0,172
0,5505	0,171
0,6505	0,171
0,7505	0,171
0,8505	0,172
0,9505	0,171
1,0505	0,171
1,1505	0,171
1,2505	0,171
1,3505	0,171
1,4505	0,171
1,5505	0,171
1,6505	0,171
1,7505	0,171
1,8505	0,171
1,9505	0,171
2,0505	0,172
2,1505	0,172
2,2505	0,171
2,3505	0,172
2,4505	0,172
2,5505	0,172
2,6505	0,172
2,7505	0,172
2,8506	0,209
2,9508	0,259
3,0509	0,325
3,1511	0,389
3,2513	0,453
3,3515	0,518
3,4517	0,584
3,5519	0,649
3,6521	0,711
3,7521	0,738
3,8522	0,745
3,9522	0,752
4,0522	0,759
4,1522	0,766
4,2522	0,772
4,3523	0,779
4,4523	0,786
4,5523	0,792
4,6523	0,798
4,7523	0,807
4,8524	0,813
