Angular Position, Run #1
Time ( s )	Angular Position ( rad )
0,0000	-0,784
0,0200	-0,751
0,0400	-0,713
0,0600	-0,672
0,0800	-0,628
0,1000	-0,581
0,1200	-0,533
0,1400	-0,481
0,1600	-0,426
0,1800	-0,371
0,2000	-0,314
0,2200	-0,256
0,2400	-0,198
0,2600	-0,140
0,2800	-0,080
0,3000	-0,022
0,3200	0,035
0,3400	0,091
0,3600	0,148
0,3800	0,203
0,4000	0,254
0,4200	0,305
0,4400	0,352
0,4600	0,397
0,4800	0,438
0,5000	0,479
0,5200	0,514
0,5400	0,548
0,5600	0,576
0,5800	0,603
0,6000	0,625
0,6200	0,644
0,6400	0,658
0,6600	0,669
0,6800	0,675
0,7000	0,679
0,7200	0,679
0,7400	0,674
0,7600	0,664
0,7800	0,653
0,8000	0,638
0,8200	0,619
0,8400	0,598
0,8600	0,573
0,8800	0,545
0,9000	0,517
0,9200	0,484
0,9400	0,449
0,9600	0,412
0,9800	0,374
1,0000	0,335
1,0200	0,292
1,0400	0,251
1,0600	0,209
1,0800	0,165
1,1000	0,121
1,1200	0,077
1,1400	0,033
1,1600	-0,011
1,1800	-0,053
1,2000	-0,096
1,2200	-0,137
1,2400	-0,176
1,2600	-0,215
1,2800	-0,251
1,3000	-0,286
1,3200	-0,319
1,3400	-0,350
1,3600	-0,379
1,3800	-0,404
1,4000	-0,427
1,4200	-0,448
1,4400	-0,467
1,4600	-0,481
1,4800	-0,493
1,5000	-0,503
1,5200	-0,509
1,5400	-0,512
1,5600	-0,512
1,5800	-0,512
1,6000	-0,506
1,6200	-0,498
1,6400	-0,487
1,6600	-0,474
1,6800	-0,457
1,7000	-0,440
1,7200	-0,419
1,7400	-0,397
1,7600	-0,372
1,7800	-0,347
1,8000	-0,319
1,8200	-0,289
1,8400	-0,259
1,8600	-0,228
1,8800	-0,196
1,9000	-0,163
1,9200	-0,130
1,9400	-0,096
1,9600	-0,063
1,9800	-0,030
2,0000	0,003
2,0200	0,036
2,0400	0,068
2,0600	0,099
2,0800	0,129
2,1000	0,157
2,1200	0,185
2,1400	0,210
2,1600	0,236
2,1800	0,258
2,2000	0,278
2,2200	0,297
2,2400	0,314
2,2600	0,328
2,2800	0,341
2,3000	0,352
2,3200	0,360
2,3400	0,366
2,3600	0,369
2,3800	0,371
2,4000	0,372
2,4200	0,369
2,4400	0,366
2,4600	0,360
2,4800	0,350
2,5000	0,341
2,5200	0,330
2,5400	0,317
2,5600	0,303
2,5800	0,287
2,6000	0,270
2,6200	0,253
2,6400	0,232
2,6600	0,212
2,6800	0,192
2,7000	0,171
2,7200	0,148
2,7400	0,126
2,7600	0,102
2,7800	0,079
2,8000	0,057
2,8200	0,033
2,8400	0,009
2,8600	-0,013
2,8800	-0,035
2,9000	-0,057
2,9200	-0,079
2,9400	-0,099
2,9600	-0,118
2,9800	-0,137
3,0000	-0,154
3,0200	-0,171
3,0400	-0,187
3,0600	-0,201
3,0800	-0,214
3,1000	-0,225
3,1200	-0,236
3,1400	-0,243
3,1600	-0,251
3,1800	-0,256
3,2000	-0,261
3,2200	-0,262
3,2400	-0,264
3,2600	-0,264
3,2800	-0,262
3,3000	-0,261
3,3200	-0,254
3,3400	-0,248
3,3600	-0,242
3,3800	-0,234
3,4000	-0,223
3,4200	-0,212
3,4400	-0,201
3,4600	-0,188
3,4800	-0,174
3,5000	-0,160
3,5200	-0,146
3,5400	-0,130
3,5600	-0,115
3,5800	-0,097
3,6000	-0,080
3,6200	-0,064
3,6400	-0,047
3,6600	-0,030
3,6800	-0,014
3,7000	0,003
3,7200	0,020
3,7400	0,035
3,7600	0,050
3,7800	0,066
3,8000	0,079
3,8200	0,093
3,8400	0,105
3,8600	0,118
3,8800	0,129
3,9000	0,138
3,9200	0,148
3,9400	0,156
3,9600	0,162
3,9800	0,168
4,0000	0,173
4,0200	0,176
4,0400	0,178
4,0600	0,179
4,0800	0,179
4,1000	0,179
4,1200	0,178
4,1400	0,173
4,1600	0,171
4,1800	0,167
4,2000	0,160
4,2200	0,154
4,2400	0,148
4,2600	0,141
4,2800	0,134
4,3000	0,124
4,3200	0,116
4,3400	0,105
4,3600	0,096
4,3800	0,086
4,4000	0,075
4,4200	0,064
4,4400	0,053
4,4600	0,042
4,4800	0,033
4,5000	0,020
4,5200	0,009
4,5400	-0,002
4,5600	-0,011
4,5800	-0,022
4,6000	-0,031
4,6200	-0,041
4,6400	-0,050
4,6600	-0,060
4,6800	-0,068
4,7000	-0,075
4,7200	-0,083
4,7400	-0,090
4,7600	-0,096
4,7800	-0,101
4,8000	-0,105
4,8200	-0,110
4,8400	-0,112
4,8600	-0,115
4,8800	-0,116
4,9000	-0,118
4,9200	-0,118
4,9400	-0,118
4,9600	-0,118
4,9800	-0,116
5,0000	-0,115
5,0200	-0,112
5,0400	-0,108
5,0600	-0,105
5,0800	-0,101
5,1000	-0,096
5,1200	-0,091
5,1400	-0,085
5,1600	-0,079
5,1800	-0,072
5,2000	-0,066
5,2200	-0,060
5,2400	-0,052
5,2600	-0,046
5,2800	-0,038
5,3000	-0,030
5,3200	-0,024
5,3400	-0,016
5,3600	-0,009
5,3800	-0,002
5,4000	0,005
5,4200	0,013
5,4400	0,019
5,4600	0,025
5,4800	0,030
5,5000	0,036
5,5200	0,041
5,5400	0,046
5,5600	0,050
5,5800	0,053
5,6000	0,058
5,6200	0,060
5,6400	0,064
5,6600	0,066
5,6800	0,068
5,7000	0,069
5,7200	0,069
5,7400	0,071
5,7600	0,071
5,7800	0,071
5,8000	0,069
5,8200	0,068
5,8400	0,066
5,8600	0,064
5,8800	0,061
5,9000	0,060
5,9200	0,058
5,9400	0,053
5,9600	0,052
5,9800	0,047
6,0000	0,044
6,0200	0,041
6,0400	0,036
6,0600	0,033
6,0800	0,028
6,1000	0,024
6,1200	0,020
6,1400	0,016
6,1600	0,011
6,1800	0,008
6,2000	0,003
6,2200	-0,002
6,2400	-0,005
6,2600	-0,009
6,2800	-0,013
6,3000	-0,017
6,3200	-0,020
6,3400	-0,024
6,3600	-0,027
6,3800	-0,028
6,4000	-0,031
6,4200	-0,035
6,4400	-0,036
6,4600	-0,038
6,4800	-0,039
6,5000	-0,041
6,5200	-0,041
6,5400	-0,042
6,5600	-0,042
6,5800	-0,042
6,6000	-0,042
6,6200	-0,042
6,6400	-0,042
6,6600	-0,041
6,6800	-0,041
6,7000	-0,039
6,7200	-0,039
6,7400	-0,036
6,7600	-0,036
6,7800	-0,035
6,8000	-0,033
6,8200	-0,030
6,8400	-0,028
6,8600	-0,027
6,8800	-0,025
6,9000	-0,024
6,9200	-0,022
6,9400	-0,019
6,9600	-0,017
6,9800	-0,016
7,0000	-0,013
7,0200	-0,011
7,0400	-0,009
7,0600	-0,008
7,0800	-0,005
7,1000	-0,003
7,1200	-0,003
7,1400	0,000
7,1600	0,002
7,1800	0,003
7,2000	0,003
7,2200	0,005
7,2400	0,005
7,2600	0,006
7,2800	0,008
7,3000	0,008
7,3200	0,008
7,3400	0,009
7,3600	0,009
7,3800	0,009
7,4000	0,009
7,4200	0,009
7,4400	0,009
7,4600	0,009
7,4800	0,009
7,5000	0,009
7,5200	0,009
7,5400	0,008
7,5600	0,008
7,5800	0,008
7,6000	0,008
7,6200	0,008
7,6400	0,006
7,6600	0,006
7,6800	0,006
