Angular Position, Run #2
Time ( s )	Angular Position ( rad )
0,0000	-0,837
0,0200	-0,807
0,0400	-0,773
0,0600	-0,734
0,0800	-0,691
0,1000	-0,646
0,1200	-0,595
0,1400	-0,542
0,1600	-0,487
0,1800	-0,429
0,2000	-0,369
0,2200	-0,306
0,2400	-0,243
0,2600	-0,179
0,2800	-0,113
0,3000	-0,049
0,3200	0,017
0,3400	0,082
0,3600	0,146
0,3800	0,209
0,4000	0,272
0,4200	0,333
0,4400	0,390
0,4600	0,446
0,4800	0,500
0,5000	0,548
0,5200	0,597
0,5400	0,639
0,5600	0,679
0,5800	0,715
0,6000	0,746
0,6200	0,773
0,6400	0,795
0,6600	0,812
0,6800	0,826
0,7000	0,834
0,7200	0,837
0,7400	0,836
0,7600	0,829
0,7800	0,818
0,8000	0,804
0,8200	0,784
0,8400	0,759
0,8600	0,730
0,8800	0,697
0,9000	0,661
0,9200	0,620
0,9400	0,578
0,9600	0,531
0,9800	0,481
1,0000	0,429
1,0200	0,374
1,0400	0,317
1,0600	0,259
1,0800	0,198
1,1000	0,138
1,1200	0,075
1,1400	0,013
1,1600	-0,050
1,1800	-0,113
1,2000	-0,174
1,2200	-0,236
1,2400	-0,295
1,2600	-0,353
1,2800	-0,410
1,3000	-0,465
1,3200	-0,517
1,3400	-0,565
1,3600	-0,611
1,3800	-0,653
1,4000	-0,691
1,4200	-0,727
1,4400	-0,757
1,4600	-0,784
1,4800	-0,804
1,5000	-0,822
1,5200	-0,834
1,5400	-0,840
1,5600	-0,844
1,5800	-0,842
1,6000	-0,836
1,6200	-0,825
1,6400	-0,809
1,6600	-0,790
1,6800	-0,767
1,7000	-0,738
1,7200	-0,707
1,7400	-0,671
1,7600	-0,633
1,7800	-0,589
1,8000	-0,545
1,8200	-0,496
1,8400	-0,445
1,8600	-0,393
1,8800	-0,338
1,9000	-0,281
1,9200	-0,225
1,9400	-0,165
1,9600	-0,105
1,9800	-0,046
2,0000	0,014
2,0200	0,072
2,0400	0,132
2,0600	0,188
2,0800	0,245
2,1000	0,300
2,1200	0,353
2,1400	0,404
2,1600	0,452
2,1800	0,496
2,2000	0,539
2,2200	0,578
2,2400	0,614
2,2600	0,646
2,2800	0,674
2,3000	0,699
2,3200	0,718
2,3400	0,735
2,3600	0,746
2,3800	0,754
2,4000	0,756
2,4200	0,756
2,4400	0,749
2,4600	0,740
2,4800	0,724
2,5000	0,707
2,5200	0,685
2,5400	0,658
2,5600	0,628
2,5800	0,595
2,6000	0,559
2,6200	0,520
2,6400	0,478
2,6600	0,432
2,6800	0,385
2,7000	0,335
2,7200	0,284
2,7400	0,231
2,7600	0,176
2,7800	0,121
2,8000	0,064
2,8200	0,008
2,8400	-0,049
2,8600	-0,105
2,8800	-0,162
2,9000	-0,217
2,9200	-0,270
2,9400	-0,324
2,9600	-0,374
2,9800	-0,423
3,0000	-0,470
3,0200	-0,514
3,0400	-0,556
3,0600	-0,594
3,0800	-0,628
3,1000	-0,660
3,1200	-0,688
3,1400	-0,712
3,1600	-0,732
3,1800	-0,746
3,2000	-0,759
3,2200	-0,765
3,2400	-0,767
3,2600	-0,767
3,2800	-0,760
3,3000	-0,751
3,3200	-0,737
3,3400	-0,719
3,3600	-0,697
3,3800	-0,672
3,4000	-0,644
3,4200	-0,613
3,4400	-0,576
3,4600	-0,539
3,4800	-0,498
3,5000	-0,456
3,5200	-0,408
3,5400	-0,363
3,5600	-0,313
3,5800	-0,262
3,6000	-0,210
3,6200	-0,157
3,6400	-0,104
3,6600	-0,050
3,6800	0,003
3,7000	0,057
3,7200	0,108
3,7400	0,162
3,7600	0,212
3,7800	0,261
3,8000	0,309
3,8200	0,353
3,8400	0,397
3,8600	0,438
3,8800	0,476
3,9000	0,511
3,9200	0,543
3,9400	0,572
3,9600	0,597
3,9800	0,619
4,0000	0,638
4,0200	0,652
4,0400	0,663
4,0600	0,669
4,0800	0,672
4,1000	0,672
4,1200	0,668
4,1400	0,658
4,1600	0,646
4,1800	0,630
4,2000	0,609
4,2200	0,586
4,2400	0,561
4,2600	0,531
4,2800	0,500
4,3000	0,465
4,3200	0,427
4,3400	0,386
4,3600	0,346
4,3800	0,300
4,4000	0,254
4,4200	0,207
4,4400	0,159
4,4600	0,108
4,4800	0,060
4,5000	0,009
4,5200	-0,041
4,5400	-0,091
4,5600	-0,141
4,5800	-0,190
4,6000	-0,239
4,6200	-0,286
4,6400	-0,331
4,6600	-0,375
4,6800	-0,416
4,7000	-0,456
4,7200	-0,493
4,7400	-0,528
4,7600	-0,558
4,7800	-0,586
4,8000	-0,611
4,8200	-0,633
4,8400	-0,650
4,8600	-0,664
4,8800	-0,675
4,9000	-0,682
4,9200	-0,683
4,9400	-0,683
4,9600	-0,679
4,9800	-0,671
5,0000	-0,658
5,0200	-0,642
5,0400	-0,625
5,0600	-0,602
5,0800	-0,576
5,1000	-0,550
5,1200	-0,518
5,1400	-0,484
5,1600	-0,449
5,1800	-0,410
5,2000	-0,371
5,2200	-0,328
5,2400	-0,284
5,2600	-0,239
5,2800	-0,193
5,3000	-0,146
5,3200	-0,099
5,3400	-0,052
5,3600	-0,005
5,3800	0,044
5,4000	0,090
5,4200	0,135
5,4400	0,181
5,4600	0,225
5,4800	0,267
5,5000	0,308
5,5200	0,346
5,5400	0,382
5,5600	0,415
5,5800	0,446
5,6000	0,474
5,6200	0,501
5,6400	0,523
5,6600	0,543
5,6800	0,559
5,7000	0,572
5,7200	0,581
5,7400	0,587
5,7600	0,591
5,7800	0,591
5,8000	0,586
5,8200	0,578
5,8400	0,567
5,8600	0,554
5,8800	0,537
5,9000	0,517
5,9200	0,493
5,9400	0,468
5,9600	0,440
5,9800	0,408
6,0000	0,375
6,0200	0,341
6,0400	0,303
6,0600	0,264
6,0800	0,225
6,1000	0,182
6,1200	0,140
6,1400	0,096
6,1600	0,052
6,1800	0,008
6,2000	-0,036
6,2200	-0,080
6,2400	-0,124
6,2600	-0,168
6,2800	-0,210
6,3000	-0,251
6,3200	-0,292
6,3400	-0,331
6,3600	-0,368
6,3800	-0,402
6,4000	-0,435
6,4200	-0,465
6,4400	-0,493
6,4600	-0,518
6,4800	-0,540
6,5000	-0,559
6,5200	-0,575
6,5400	-0,587
6,5600	-0,597
