Angular Position, 6.04
Time ( s )	Angular Position ( rad )
0,0000	0,305
0,0200	0,303
0,0400	0,302
0,0600	0,300
0,0800	0,297
0,1000	0,295
0,1200	0,291
0,1400	0,289
0,1600	0,284
0,1800	0,281
0,2000	0,276
0,2200	0,272
0,2400	0,267
0,2600	0,264
0,2800	0,258
0,3000	0,251
0,3200	0,247
0,3400	0,240
0,3600	0,234
0,3800	0,226
0,4000	0,220
0,4200	0,214
0,4400	0,206
0,4600	0,198
0,4800	0,190
0,5000	0,182
0,5200	0,174
0,5400	0,167
0,5600	0,159
0,5800	0,151
0,6000	0,141
0,6200	0,134
0,6400	0,126
0,6600	0,116
0,6800	0,108
0,7000	0,101
0,7200	0,091
0,7400	0,083
0,7600	0,075
0,7800	0,066
0,8000	0,058
0,8200	0,050
0,8400	0,042
0,8600	0,035
0,8800	0,028
0,9000	0,020
0,9200	0,014
0,9400	0,008
0,9600	0,002
0,9800	-0,005
1,0000	-0,009
1,0200	-0,014
1,0400	-0,019
1,0600	-0,024
1,0800	-0,027
1,1000	-0,030
1,1200	-0,031
1,1400	-0,035
1,1600	-0,036
1,1800	-0,036
1,2000	-0,036
1,2200	-0,036
1,2400	-0,036
1,2600	-0,035
1,2800	-0,033
1,3000	-0,030
1,3200	-0,027
1,3400	-0,024
1,3600	-0,019
1,3800	-0,014
1,4000	-0,009
1,4200	-0,003
1,4400	0,003
1,4600	0,009
1,4800	0,017
1,5000	0,025
1,5200	0,033
1,5400	0,041
1,5600	0,050
1,5800	0,058
1,6000	0,069
1,6200	0,079
1,6400	0,088
1,6600	0,099
1,6800	0,108
1,7000	0,119
1,7200	0,130
1,7400	0,140
1,7600	0,151
1,7800	0,162
1,8000	0,171
1,8200	0,182
1,8400	0,192
1,8600	0,201
1,8800	0,210
1,9000	0,220
1,9200	0,229
1,9400	0,239
1,9600	0,247
1,9800	0,253
2,0000	0,261
2,0200	0,269
2,0400	0,275
2,0600	0,281
2,0800	0,286
2,1000	0,291
2,1200	0,297
2,1400	0,300
2,1600	0,303
2,1800	0,306
2,2000	0,309
2,2200	0,309
2,2400	0,311
2,2600	0,311
2,2800	0,311
2,3000	0,311
2,3200	0,309
2,3400	0,309
2,3600	0,308
2,3800	0,305
2,4000	0,303
2,4200	0,300
2,4400	0,297
2,4600	0,294
2,4800	0,291
2,5000	0,286
2,5200	0,283
2,5400	0,278
2,5600	0,273
2,5800	0,269
2,6000	0,264
2,6200	0,258
2,6400	0,251
2,6600	0,245
2,6800	0,239
2,7000	0,232
2,7200	0,226
2,7400	0,218
2,7600	0,210
2,7800	0,203
2,8000	0,196
2,8200	0,188
2,8400	0,181
2,8600	0,173
2,8800	0,165
2,9000	0,157
2,9200	0,148
2,9400	0,140
2,9600	0,132
2,9800	0,123
3,0000	0,115
3,0200	0,107
3,0400	0,097
3,0600	0,090
3,0800	0,082
3,1000	0,072
3,1200	0,064
3,1400	0,057
3,1600	0,049
3,1800	0,041
3,2000	0,033
3,2200	0,025
3,2400	0,019
3,2600	0,013
3,2800	0,006
3,3000	0,000
3,3200	-0,006
3,3400	-0,011
3,3600	-0,016
3,3800	-0,020
3,4000	-0,024
3,4200	-0,027
3,4400	-0,030
3,4600	-0,031
3,4800	-0,035
3,5000	-0,036
3,5200	-0,036
3,5400	-0,036
3,5600	-0,036
3,5800	-0,036
3,6000	-0,035
3,6200	-0,031
3,6400	-0,030
3,6600	-0,025
3,6800	-0,022
3,7000	-0,017
3,7200	-0,013
3,7400	-0,008
3,7600	-0,002
3,7800	0,005
3,8000	0,013
3,8200	0,019
3,8400	0,027
3,8600	0,035
3,8800	0,042
3,9000	0,052
3,9200	0,060
3,9400	0,071
3,9600	0,080
3,9800	0,090
4,0000	0,099
4,0200	0,108
4,0400	0,119
4,0600	0,130
4,0800	0,140
4,1000	0,151
4,1200	0,160
4,1400	0,170
4,1600	0,181
4,1800	0,190
4,2000	0,198
4,2200	0,207
4,2400	0,217
4,2600	0,226
4,2800	0,234
4,3000	0,242
4,3200	0,250
4,3400	0,256
4,3600	0,264
4,3800	0,270
4,4000	0,275
4,4200	0,281
4,4400	0,286
4,4600	0,291
4,4800	0,294
4,5000	0,297
4,5200	0,300
4,5400	0,302
4,5600	0,303
4,5800	0,305
4,6000	0,305
4,6200	0,305
4,6400	0,305
4,6600	0,305
4,6800	0,303
4,7000	0,302
4,7200	0,300
4,7400	0,297
4,7600	0,295
4,7800	0,292
4,8000	0,291
4,8200	0,286
4,8400	0,283
4,8600	0,280
4,8800	0,276
4,9000	0,272
4,9200	0,267
4,9400	0,262
4,9600	0,258
4,9800	0,251
5,0000	0,247
5,0200	0,240
5,0400	0,234
5,0600	0,228
5,0800	0,221
5,1000	0,215
5,1200	0,209
5,1400	0,201
5,1600	0,195
5,1800	0,187
5,2000	0,179
5,2200	0,171
5,2400	0,165
5,2600	0,157
5,2800	0,149
5,3000	0,140
5,3200	0,134
