Angular Position, Run #11
Time ( s )	Angular Position ( rad )
0,0000	0,090
0,0200	0,085
0,0400	0,079
0,0600	0,072
0,0800	0,066
0,1000	0,060
0,1200	0,052
0,1400	0,046
0,1600	0,038
0,1800	0,031
0,2000	0,024
0,2200	0,016
0,2400	0,009
0,2600	0,003
0,2800	-0,003
0,3000	-0,009
0,3200	-0,013
0,3400	-0,017
0,3600	-0,020
0,3800	-0,024
0,4000	-0,025
0,4200	-0,025
0,4400	-0,025
0,4600	-0,025
0,4800	-0,024
0,5000	-0,020
0,5200	-0,017
0,5400	-0,014
0,5600	-0,011
0,5800	-0,005
0,6000	0,000
0,6200	0,006
0,6400	0,013
0,6600	0,019
0,6800	0,025
0,7000	0,033
0,7200	0,039
0,7400	0,047
0,7600	0,055
0,7800	0,061
0,8000	0,069
0,8200	0,075
0,8400	0,080
0,8600	0,086
0,8800	0,091
0,9000	0,096
0,9200	0,099
0,9400	0,102
0,9600	0,102
0,9800	0,104
1,0000	0,104
1,0200	0,104
1,0400	0,102
1,0600	0,101
1,0800	0,097
1,1000	0,094
1,1200	0,090
1,1400	0,085
1,1600	0,080
1,1800	0,075
1,2000	0,069
1,2200	0,063
1,2400	0,057
1,2600	0,050
1,2800	0,044
1,3000	0,038
1,3200	0,030
1,3400	0,024
1,3600	0,017
1,3800	0,011
1,4000	0,006
1,4200	0,000
1,4400	-0,005
1,4600	-0,009
1,4800	-0,013
1,5000	-0,016
1,5200	-0,017
1,5400	-0,019
1,5600	-0,019
1,5800	-0,019
1,6000	-0,017
1,6200	-0,017
1,6400	-0,014
1,6600	-0,011
1,6800	-0,006
1,7000	-0,003
1,7200	0,002
1,7400	0,008
1,7600	0,014
1,7800	0,020
1,8000	0,027
1,8200	0,033
1,8400	0,039
1,8600	0,047
1,8800	0,053
1,9000	0,061
1,9200	0,068
1,9400	0,074
1,9600	0,080
1,9800	0,085
2,0000	0,090
2,0200	0,094
2,0400	0,097
2,0600	0,101
2,0800	0,102
2,1000	0,102
2,1200	0,104
2,1400	0,104
2,1600	0,102
2,1800	0,101
2,2000	0,097
2,2200	0,094
2,2400	0,090
2,2600	0,086
2,2800	0,082
2,3000	0,075
2,3200	0,071
2,3400	0,064
2,3600	0,058
2,3800	0,052
2,4000	0,044
2,4200	0,038
2,4400	0,031
2,4600	0,025
2,4800	0,017
2,5000	0,011
2,5200	0,006
2,5400	0,000
2,5600	-0,005
2,5800	-0,009
2,6000	-0,013
2,6200	-0,017
2,6400	-0,019
2,6600	-0,019
2,6800	-0,020
2,7000	-0,020
2,7200	-0,020
2,7400	-0,019
2,7600	-0,017
2,7800	-0,013
2,8000	-0,009
2,8200	-0,006
2,8400	0,000
2,8600	0,005
2,8800	0,009
2,9000	0,016
2,9200	0,022
2,9400	0,030
2,9600	0,036
2,9800	0,044
3,0000	0,050
3,0200	0,058
3,0400	0,064
3,0600	0,071
3,0800	0,077
3,1000	0,083
3,1200	0,088
3,1400	0,093
3,1600	0,096
3,1800	0,101
3,2000	0,102
3,2200	0,104
3,2400	0,104
3,2600	0,104
3,2800	0,104
3,3000	0,102
3,3200	0,101
3,3400	0,097
3,3600	0,094
3,3800	0,090
3,4000	0,085
3,4200	0,082
3,4400	0,075
3,4600	0,069
3,4800	0,063
3,5000	0,057
3,5200	0,050
3,5400	0,044
3,5600	0,038
3,5800	0,031
3,6000	0,025
3,6200	0,019
3,6400	0,013
3,6600	0,006
3,6800	0,002
3,7000	-0,003
3,7200	-0,008
3,7400	-0,011
3,7600	-0,013
3,7800	-0,016
3,8000	-0,016
3,8200	-0,017
3,8400	-0,017
3,8600	-0,016
3,8800	-0,013
3,9000	-0,011
3,9200	-0,008
3,9400	-0,005
3,9600	0,000
3,9800	0,005
4,0000	0,009
4,0200	0,014
4,0400	0,020
4,0600	0,027
4,0800	0,033
4,1000	0,041
4,1200	0,047
4,1400	0,053
4,1600	0,060
4,1800	0,066
4,2000	0,072
4,2200	0,077
4,2400	0,083
4,2600	0,088
4,2800	0,091
4,3000	0,094
4,3200	0,096
4,3400	0,097
4,3600	0,099
4,3800	0,099
4,4000	0,099
4,4200	0,097
4,4400	0,096
4,4600	0,093
4,4800	0,090
4,5000	0,086
4,5200	0,082
4,5400	0,077
4,5600	0,072
4,5800	0,066
4,6000	0,061
4,6200	0,055
4,6400	0,049
4,6600	0,042
4,6800	0,036
4,7000	0,030
4,7200	0,024
4,7400	0,017
4,7600	0,011
4,7800	0,006
4,8000	0,000
4,8200	-0,005
4,8400	-0,008
4,8600	-0,011
4,8800	-0,014
4,9000	-0,016
4,9200	-0,017
4,9400	-0,017
4,9600	-0,017
4,9800	-0,017
5,0000	-0,014
5,0200	-0,013
5,0400	-0,009
5,0600	-0,005
5,0800	-0,002
5,1000	0,003
5,1200	0,008
5,1400	0,014
5,1600	0,020
5,1800	0,027
5,2000	0,033
5,2200	0,039
5,2400	0,046
5,2600	0,053
5,2800	0,060
5,3000	0,066
5,3200	0,072
5,3400	0,079
5,3600	0,083
5,3800	0,088
5,4000	0,093
5,4200	0,096
5,4400	0,099
5,4600	0,101
5,4800	0,102
5,5000	0,102
5,5200	0,102
5,5400	0,101
5,5600	0,099
5,5800	0,096
5,6000	0,094
5,6200	0,090
5,6400	0,086
5,6600	0,082
5,6800	0,077
5,7000	0,071
5,7200	0,064
5,7400	0,060
5,7600	0,053
5,7800	0,046
5,8000	0,039
5,8200	0,033
5,8400	0,027
5,8600	0,020
5,8800	0,014
5,9000	0,008
