Angular Position, 10.18
Time ( s )	Angular Position ( rad )
0,0000	0,148
0,0200	0,138
0,0400	0,129
0,0600	0,116
0,0800	0,105
0,1000	0,093
0,1200	0,080
0,1400	0,068
0,1600	0,055
0,1800	0,042
0,2000	0,028
0,2200	0,016
0,2400	0,003
0,2600	-0,009
0,2800	-0,022
0,3000	-0,033
0,3200	-0,044
0,3400	-0,053
0,3600	-0,063
0,3800	-0,071
0,4000	-0,079
0,4200	-0,085
0,4400	-0,090
0,4600	-0,093
0,4800	-0,096
0,5000	-0,097
0,5200	-0,097
0,5400	-0,096
0,5600	-0,094
0,5800	-0,090
0,6000	-0,085
0,6200	-0,079
0,6400	-0,071
0,6600	-0,064
0,6800	-0,053
0,7000	-0,044
0,7200	-0,033
0,7400	-0,020
0,7600	-0,008
0,7800	0,005
0,8000	0,017
0,8200	0,031
0,8400	0,047
0,8600	0,061
0,8800	0,074
0,9000	0,088
0,9200	0,102
0,9400	0,115
0,9600	0,127
0,9800	0,140
1,0000	0,151
1,0200	0,160
1,0400	0,170
1,0600	0,179
1,0800	0,185
1,1000	0,192
1,1200	0,195
1,1400	0,199
1,1600	0,201
1,1800	0,201
1,2000	0,201
1,2200	0,199
1,2400	0,196
1,2600	0,193
1,2800	0,187
1,3000	0,182
1,3200	0,174
1,3400	0,168
1,3600	0,159
1,3800	0,149
1,4000	0,140
1,4200	0,129
1,4400	0,118
1,4600	0,105
1,4800	0,093
1,5000	0,080
1,5200	0,068
1,5400	0,055
1,5600	0,041
1,5800	0,028
1,6000	0,016
1,6200	0,003
1,6400	-0,009
1,6600	-0,022
1,6800	-0,033
1,7000	-0,044
1,7200	-0,053
1,7400	-0,063
1,7600	-0,071
1,7800	-0,079
1,8000	-0,083
1,8200	-0,090
1,8400	-0,091
1,8600	-0,094
1,8800	-0,096
1,9000	-0,096
1,9200	-0,094
1,9400	-0,091
1,9600	-0,088
1,9800	-0,083
2,0000	-0,077
2,0200	-0,069
2,0400	-0,061
2,0600	-0,052
2,0800	-0,042
2,1000	-0,033
2,1200	-0,020
2,1400	-0,009
2,1600	0,003
2,1800	0,017
2,2000	0,030
2,2200	0,044
2,2400	0,057
2,2600	0,071
2,2800	0,085
2,3000	0,097
2,3200	0,110
2,3400	0,123
2,3600	0,134
2,3800	0,145
2,4000	0,154
2,4200	0,162
2,4400	0,171
2,4600	0,178
2,4800	0,182
2,5000	0,187
2,5200	0,190
2,5400	0,193
2,5600	0,193
2,5800	0,193
2,6000	0,192
2,6200	0,188
2,6400	0,185
2,6600	0,179
2,6800	0,174
2,7000	0,168
2,7200	0,160
2,7400	0,152
2,7600	0,143
2,7800	0,134
2,8000	0,123
2,8200	0,112
2,8400	0,101
2,8600	0,090
2,8800	0,077
2,9000	0,064
2,9200	0,052
2,9400	0,039
2,9600	0,027
2,9800	0,014
3,0000	0,002
3,0200	-0,009
3,0400	-0,022
3,0600	-0,033
3,0800	-0,044
3,1000	-0,052
3,1200	-0,061
3,1400	-0,069
3,1600	-0,075
3,1800	-0,082
3,2000	-0,085
3,2200	-0,088
3,2400	-0,090
3,2600	-0,091
3,2800	-0,091
3,3000	-0,090
3,3200	-0,086
3,3400	-0,082
3,3600	-0,077
3,3800	-0,071
3,4000	-0,064
3,4200	-0,055
3,4400	-0,046
3,4600	-0,036
3,4800	-0,025
3,5000	-0,014
3,5200	-0,002
3,5400	0,011
3,5600	0,024
3,5800	0,036
3,6000	0,050
3,6200	0,064
3,6400	0,077
3,6600	0,091
3,6800	0,104
3,7000	0,116
3,7200	0,127
3,7400	0,138
3,7600	0,148
3,7800	0,157
3,8000	0,167
3,8200	0,173
3,8400	0,179
3,8600	0,184
3,8800	0,187
3,9000	0,190
3,9200	0,192
3,9400	0,192
3,9600	0,192
3,9800	0,188
4,0000	0,185
4,0200	0,181
4,0400	0,176
4,0600	0,170
4,0800	0,162
4,1000	0,156
4,1200	0,146
4,1400	0,137
4,1600	0,127
4,1800	0,116
4,2000	0,105
4,2200	0,094
4,2400	0,082
4,2600	0,069
4,2800	0,057
4,3000	0,044
4,3200	0,031
4,3400	0,019
4,3600	0,006
4,3800	-0,006
4,4000	-0,017
4,4200	-0,028
4,4400	-0,039
4,4600	-0,049
4,4800	-0,058
4,5000	-0,066
4,5200	-0,072
4,5400	-0,079
4,5600	-0,083
4,5800	-0,088
4,6000	-0,090
4,6200	-0,091
4,6400	-0,091
4,6600	-0,091
4,6800	-0,090
4,7000	-0,085
4,7200	-0,080
4,7400	-0,075
4,7600	-0,069
4,7800	-0,060
4,8000	-0,052
4,8200	-0,042
4,8400	-0,033
4,8600	-0,022
4,8800	-0,009
4,9000	0,003
4,9200	0,016
4,9400	0,028
4,9600	0,042
4,9800	0,055
5,0000	0,068
5,0200	0,082
5,0400	0,094
5,0600	0,107
5,0800	0,119
5,1000	0,130
5,1200	0,141
5,1400	0,151
