Angular Position, Run #3
Time ( s )	Angular Position ( rad )
0,0000	-0,851
0,0200	-0,837
0,0400	-0,818
0,0600	-0,795
0,0800	-0,767
0,1000	-0,734
0,1200	-0,697
0,1400	-0,657
0,1600	-0,613
0,1800	-0,565
0,2000	-0,514
0,2200	-0,460
0,2400	-0,404
0,2600	-0,344
0,2800	-0,284
0,3000	-0,221
0,3200	-0,157
0,3400	-0,093
0,3600	-0,028
0,3800	0,038
0,4000	0,104
0,4200	0,168
0,4400	0,232
0,4600	0,295
0,4800	0,357
0,5000	0,416
0,5200	0,473
0,5400	0,528
0,5600	0,580
0,5800	0,628
0,6000	0,674
0,6200	0,716
0,6400	0,754
0,6600	0,787
0,6800	0,817
0,7000	0,842
0,7200	0,864
0,7400	0,880
0,7600	0,891
0,7800	0,897
0,8000	0,898
0,8200	0,897
0,8400	0,889
0,8600	0,877
0,8800	0,859
0,9000	0,839
0,9200	0,812
0,9400	0,782
0,9600	0,749
0,9800	0,712
1,0000	0,671
1,0200	0,627
1,0400	0,580
1,0600	0,529
1,0800	0,476
1,1000	0,423
1,1200	0,366
1,1400	0,306
1,1600	0,247
1,1800	0,185
1,2000	0,123
1,2200	0,061
1,2400	-0,002
1,2600	-0,063
1,2800	-0,124
1,3000	-0,185
1,3200	-0,243
1,3400	-0,300
1,3600	-0,357
1,3800	-0,410
1,4000	-0,460
1,4200	-0,507
1,4400	-0,551
1,4600	-0,594
1,4800	-0,630
1,5000	-0,663
1,5200	-0,693
1,5400	-0,718
1,5600	-0,738
1,5800	-0,752
1,6000	-0,765
1,6200	-0,771
1,6400	-0,773
1,6600	-0,770
1,6800	-0,763
1,7000	-0,751
1,7200	-0,735
1,7400	-0,715
1,7600	-0,690
1,7800	-0,661
1,8000	-0,628
1,8200	-0,594
1,8400	-0,553
1,8600	-0,511
1,8800	-0,463
1,9000	-0,416
1,9200	-0,364
1,9400	-0,313
1,9600	-0,258
1,9800	-0,201
2,0000	-0,143
2,0200	-0,085
2,0400	-0,027
2,0600	0,033
2,0800	0,093
2,1000	0,151
2,1200	0,209
2,1400	0,265
2,1600	0,322
2,1800	0,375
2,2000	0,427
2,2200	0,476
2,2400	0,523
2,2600	0,567
2,2800	0,608
2,3000	0,646
2,3200	0,680
2,3400	0,712
2,3600	0,738
2,3800	0,762
2,4000	0,781
2,4200	0,795
2,4400	0,806
2,4600	0,812
2,4800	0,814
2,5000	0,812
2,5200	0,806
2,5400	0,793
2,5600	0,779
2,5800	0,759
2,6000	0,737
2,6200	0,708
2,6400	0,679
2,6600	0,644
2,6800	0,608
2,7000	0,569
2,7200	0,525
2,7400	0,481
2,7600	0,432
2,7800	0,383
2,8000	0,331
2,8200	0,278
2,8400	0,225
2,8600	0,168
2,8800	0,113
2,9000	0,058
2,9200	0,002
2,9400	-0,055
2,9600	-0,110
2,9800	-0,165
3,0000	-0,218
3,0200	-0,269
3,0400	-0,319
3,0600	-0,368
3,0800	-0,413
3,1000	-0,456
