Angular Position, 8.84
Time ( s )	Angular Position ( rad )
0,0000	-1,109
0,0200	-0,944
0,0400	-0,774
0,0600	-0,602
0,0800	-0,423
0,1000	-0,243
0,1200	-0,063
0,1400	0,119
0,1600	0,300
0,1800	0,479
0,2000	0,658
0,2200	0,831
0,2400	1,002
0,2600	1,167
0,2800	1,327
0,3000	1,478
0,3200	1,624
0,3400	1,761
0,3600	1,887
0,3800	2,004
0,4000	2,110
0,4200	2,205
0,4400	2,287
0,4600	2,358
0,4800	2,416
0,5000	2,460
0,5200	2,491
0,5400	2,509
0,5600	2,512
0,5800	2,501
0,6000	2,476
0,6200	2,438
0,6400	2,384
0,6600	2,320
0,6800	2,243
0,7000	2,154
0,7200	2,051
0,7400	1,940
0,7600	1,817
0,7800	1,685
0,8000	1,546
0,8200	1,396
0,8400	1,239
0,8600	1,078
0,8800	0,909
0,9000	0,738
0,9200	0,562
0,9400	0,383
0,9600	0,203
0,9800	0,022
1,0000	-0,160
1,0200	-0,339
1,0400	-0,518
1,0600	-0,694
1,0800	-0,867
1,1000	-1,035
1,1200	-1,197
1,1400	-1,354
1,1600	-1,502
1,1800	-1,641
1,2000	-1,773
1,2200	-1,894
1,2400	-2,006
1,2600	-2,105
1,2800	-2,194
1,3000	-2,271
1,3200	-2,336
1,3400	-2,386
1,3600	-2,417
1,3800	-2,421
1,4000	-2,392
1,4200	-2,344
1,4400	-2,282
1,4600	-2,209
1,4800	-2,122
1,5000	-2,026
1,5200	-1,916
1,5400	-1,799
1,5600	-1,670
1,5800	-1,532
1,6000	-1,387
1,6200	-1,233
1,6400	-1,073
1,6600	-0,906
1,6800	-0,735
1,7000	-0,561
1,7200	-0,382
1,7400	-0,203
1,7600	-0,020
1,7800	0,160
1,8000	0,341
1,8200	0,522
1,8400	0,697
1,8600	0,872
1,8800	1,040
1,9000	1,205
1,9200	1,362
1,9400	1,513
1,9600	1,654
1,9800	1,789
2,0000	1,912
2,0200	2,026
2,0400	2,130
2,0600	2,223
2,0800	2,301
2,1000	2,370
2,1200	2,424
2,1400	2,465
2,1600	2,493
2,1800	2,507
2,2000	2,507
2,2200	2,493
2,2400	2,465
2,2600	2,424
2,2800	2,369
2,3000	2,301
2,3200	2,223
2,3400	2,132
2,3600	2,028
2,3800	1,915
2,4000	1,791
2,4200	1,657
2,4400	1,516
2,4600	1,365
2,4800	1,210
2,5000	1,046
2,5200	0,880
2,5400	0,707
2,5600	0,531
2,5800	0,352
2,6000	0,171
2,6200	-0,009
2,6400	-0,188
2,6600	-0,369
2,6800	-0,547
2,7000	-0,721
2,7200	-0,892
2,7400	-1,060
2,7600	-1,221
2,7800	-1,374
2,8000	-1,522
2,8200	-1,659
2,8400	-1,789
2,8600	-1,909
2,8800	-2,017
2,9000	-2,116
2,9200	-2,201
2,9400	-2,275
2,9600	-2,336
2,9800	-2,386
3,0000	-2,416
3,0200	-2,417
3,0400	-2,388
3,0600	-2,342
3,0800	-2,282
3,1000	-2,210
3,1200	-2,125
3,1400	-2,029
3,1600	-1,923
3,1800	-1,806
3,2000	-1,678
3,2200	-1,543
3,2400	-1,398
3,2600	-1,246
3,2800	-1,087
3,3000	-0,922
3,3200	-0,752
3,3400	-0,578
3,3600	-0,402
3,3800	-0,223
3,4000	-0,042
3,4200	0,138
3,4400	0,319
3,4600	0,498
3,4800	0,674
3,5000	0,847
3,5200	1,015
3,5400	1,178
3,5600	1,335
3,5800	1,486
3,6000	1,629
3,6200	1,764
3,6400	1,888
3,6600	2,003
3,6800	2,106
3,7000	2,201
3,7200	2,281
3,7400	2,348
3,7600	2,405
3,7800	2,446
3,8000	2,476
3,8200	2,490
3,8400	2,491
3,8600	2,479
3,8800	2,452
3,9000	2,413
3,9200	2,361
3,9400	2,295
3,9600	2,218
3,9800	2,130
4,0000	2,029
4,0200	1,918
4,0400	1,797
4,0600	1,665
4,0800	1,525
4,1000	1,378
4,1200	1,224
4,1400	1,063
4,1600	0,897
4,1800	0,727
4,2000	0,553
4,2200	0,377
4,2400	0,198
4,2600	0,019
4,2800	-0,160
4,3000	-0,338
4,3200	-0,515
4,3400	-0,688
4,3600	-0,859
4,3800	-1,024
4,4000	-1,184
4,4200	-1,337
4,4400	-1,483
4,4600	-1,621
4,4800	-1,750
4,5000	-1,868
4,5200	-1,978
4,5400	-2,075
4,5600	-2,161
4,5800	-2,237
4,6000	-2,300
4,6200	-2,348
4,6400	-2,386
4,6600	-2,405
4,6800	-2,399
4,7000	-2,370
4,7200	-2,328
4,7400	-2,273
4,7600	-2,204
4,7800	-2,124
4,8000	-2,033
4,8200	-1,929
4,8400	-1,816
4,8600	-1,693
4,8800	-1,561
4,9000	-1,420
4,9200	-1,272
4,9400	-1,117
4,9600	-0,957
4,9800	-0,790
5,0000	-0,620
5,0200	-0,446
5,0400	-0,269
5,0600	-0,093
5,0800	0,088
5,1000	0,265
5,1200	0,441
5,1400	0,617
5,1600	0,789
5,1800	0,957
5,2000	1,120
5,2200	1,277
5,2400	1,428
5,2600	1,572
5,2800	1,707
5,3000	1,833
5,3200	1,949
5,3400	2,056
5,3600	2,150
5,3800	2,235
5,4000	2,306
5,4200	2,364
5,4400	2,410
5,4600	2,443
5,4800	2,461
5,5000	2,466
5,5200	2,458
5,5400	2,438
5,5600	2,402
5,5800	2,353
5,6000	2,293
5,6200	2,220
5,6400	2,135
5,6600	2,039
5,6800	1,931
5,7000	1,814
5,7200	1,687
5,7400	1,552
5,7600	1,407
5,7800	1,257
5,8000	1,098
5,8200	0,936
5,8400	0,768
5,8600	0,597
5,8800	0,423
5,9000	0,245
5,9200	0,068
5,9400	-0,110
5,9600	-0,287
5,9800	-0,462
6,0000	-0,635
6,0200	-0,804
6,0400	-0,971
6,0600	-1,131
6,0800	-1,286
6,1000	-1,433
6,1200	-1,572
6,1400	-1,703
6,1600	-1,824
6,1800	-1,934
6,2000	-2,034
6,2200	-2,124
6,2400	-2,202
6,2600	-2,267
6,2800	-2,320
6,3000	-2,359
6,3200	-2,386
6,3400	-2,395
6,3600	-2,384
6,3800	-2,355
6,4000	-2,314
6,4200	-2,260
6,4400	-2,193
6,4600	-2,114
6,4800	-2,023
6,5000	-1,923
6,5200	-1,810
6,5400	-1,689
6,5600	-1,558
6,5800	-1,418
6,6000	-1,272
6,6200	-1,118
6,6400	-0,960
6,6600	-0,793
6,6800	-0,624
6,7000	-0,451
6,7200	-0,275
6,7400	-0,099
6,7600	0,079
6,7800	0,258
6,8000	0,434
6,8200	0,608
6,8400	0,779
6,8600	0,947
6,8800	1,111
6,9000	1,268
6,9200	1,418
6,9400	1,563
6,9600	1,698
6,9800	1,824
7,0000	1,942
7,0200	2,048
7,0400	2,144
7,0600	2,227
7,0800	2,300
7,1000	2,358
7,1200	2,405
7,1400	2,438
7,1600	2,457
7,1800	2,463
7,2000	2,457
7,2200	2,435
7,2400	2,402
7,2600	2,353
7,2800	2,293
7,3000	2,221
7,3200	2,136
7,3400	2,040
7,3600	1,934
7,3800	1,817
7,4000	1,690
7,4200	1,554
7,4400	1,411
7,4600	1,260
7,4800	1,103
7,5000	0,939
7,5200	0,771
7,5400	0,600
7,5600	0,426
7,5800	0,248
7,6000	0,071
7,6200	-0,107
7,6400	-0,286
7,6600	-0,462
7,6800	-0,635
7,7000	-0,804
7,7200	-0,972
7,7400	-1,133
7,7600	-1,288
7,7800	-1,437
7,8000	-1,576
7,8200	-1,707
7,8400	-1,828
7,8600	-1,942
7,8800	-2,042
7,9000	-2,133
7,9200	-2,210
7,9400	-2,276
7,9600	-2,329
7,9800	-2,370
8,0000	-2,397
8,0200	-2,402
8,0400	-2,381
8,0600	-2,347
8,0800	-2,298
8,1000	-2,237
8,1200	-2,163
8,1400	-2,078
8,1600	-1,981
8,1800	-1,872
8,2000	-1,756
8,2200	-1,627
8,2400	-1,492
8,2600	-1,348
8,2800	-1,195
8,3000	-1,037
8,3200	-0,873
8,3400	-0,704
8,3600	-0,531
8,3800	-0,355
8,4000	-0,176
8,4200	0,002
8,4400	0,182
8,4600	0,360
8,4800	0,537
8,5000	0,712
8,5200	0,883
8,5400	1,051
8,5600	1,213
8,5800	1,367
8,6000	1,516
8,6200	1,656
8,6400	1,788
8,6600	1,910
8,6800	2,022
8,7000	2,124
8,7200	2,213
8,7400	2,292
8,7600	2,356
8,7800	2,410
8,8000	2,449
8,8200	2,476
8,8400	2,487
8,8600	2,487
8,8800	2,471
8,9000	2,443
8,9200	2,400
8,9400	2,344
8,9600	2,276
8,9800	2,194
9,0000	2,102
9,0200	1,998
9,0400	1,883
9,0600	1,759
9,0800	1,624
9,1000	1,483
9,1200	1,332
9,1400	1,175
9,1600	1,013
9,1800	0,844
9,2000	0,672
9,2200	0,496
9,2400	0,317
9,2600	0,138
9,2800	-0,042
9,3000	-0,223
9,3200	-0,402
9,3400	-0,578
9,3600	-0,752
9,3800	-0,924
9,4000	-1,089
9,4200	-1,249
9,4400	-1,401
9,4600	-1,546
9,4800	-1,682
9,5000	-1,808
9,5200	-1,926
9,5400	-2,033
9,5600	-2,127
9,5800	-2,210
9,6000	-2,282
9,6200	-2,340
9,6400	-2,386
9,6600	-2,413
9,6800	-2,413
9,7000	-2,383
9,7200	-2,336
9,7400	-2,278
9,7600	-2,205
9,7800	-2,122
9,8000	-2,028
9,8200	-1,921
9,8400	-1,805
9,8600	-1,678
9,8800	-1,543
9,9000	-1,400
9,9200	-1,247
9,9400	-1,089
9,9600	-0,925
9,9800	-0,756
10,0000	-0,583
10,0200	-0,405
10,0400	-0,226
10,0600	-0,046
10,0800	0,135
10,1000	0,316
10,1200	0,493
10,1400	0,671
10,1600	0,844
10,1800	1,013
10,2000	1,177
10,2200	1,335
10,2400	1,486
10,2600	1,629
10,2800	1,766
10,3000	1,891
10,3200	2,006
10,3400	2,111
10,3600	2,205
10,3800	2,287
10,4000	2,356
10,4200	2,413
10,4400	2,455
10,4600	2,483
10,4800	2,501
10,5000	2,502
10,5200	2,491
10,5400	2,466
10,5600	2,427
10,5800	2,375
10,6000	2,309
10,6200	2,231
10,6400	2,141
10,6600	2,039
10,6800	1,927
10,7000	1,805
10,7200	1,673
10,7400	1,532
10,7600	1,382
10,7800	1,227
10,8000	1,063
10,8200	0,897
10,8400	0,724
10,8600	0,548
10,8800	0,371
10,9000	0,188
10,9200	0,008
10,9400	-0,174
10,9600	-0,355
