Angular Position, Run #3
Time ( s )	Angular Position ( rad )
0,0000	-0,924
0,0200	-0,902
0,0400	-0,875
0,0600	-0,842
0,0800	-0,806
0,1000	-0,765
0,1200	-0,721
0,1400	-0,674
0,1600	-0,622
0,1800	-0,569
0,2000	-0,512
0,2200	-0,452
0,2400	-0,391
0,2600	-0,328
0,2800	-0,262
0,3000	-0,198
0,3200	-0,130
0,3400	-0,064
0,3600	0,002
0,3800	0,068
0,4000	0,134
0,4200	0,198
0,4400	0,259
0,4600	0,320
0,4800	0,379
0,5000	0,435
0,5200	0,489
0,5400	0,537
0,5600	0,584
0,5800	0,628
0,6000	0,668
0,6200	0,702
0,6400	0,732
0,6600	0,759
0,6800	0,781
0,7000	0,798
0,7200	0,809
0,7400	0,817
0,7600	0,818
0,7800	0,817
0,8000	0,809
0,8200	0,796
0,8400	0,781
0,8600	0,759
0,8800	0,732
0,9000	0,702
0,9200	0,669
0,9400	0,631
0,9600	0,589
0,9800	0,545
1,0000	0,496
1,0200	0,446
1,0400	0,393
1,0600	0,336
1,0800	0,278
1,1000	0,218
1,1200	0,157
1,1400	0,094
1,1600	0,031
1,1800	-0,033
1,2000	-0,096
1,2200	-0,159
1,2400	-0,221
1,2600	-0,284
1,2800	-0,344
1,3000	-0,404
1,3200	-0,460
1,3400	-0,514
1,3600	-0,567
1,3800	-0,616
1,4000	-0,661
1,4200	-0,704
1,4400	-0,741
1,4600	-0,776
1,4800	-0,806
1,5000	-0,831
1,5200	-0,851
1,5400	-0,869
1,5600	-0,880
1,5800	-0,886
1,6000	-0,888
1,6200	-0,884
1,6400	-0,878
1,6600	-0,866
1,6800	-0,848
1,7000	-0,826
1,7200	-0,801
1,7400	-0,771
1,7600	-0,738
1,7800	-0,702
1,8000	-0,661
1,8200	-0,617
1,8400	-0,570
1,8600	-0,520
1,8800	-0,468
1,9000	-0,413
1,9200	-0,357
1,9400	-0,300
1,9600	-0,240
1,9800	-0,181
2,0000	-0,121
2,0200	-0,060
2,0400	0,002
2,0600	0,061
2,0800	0,121
2,1000	0,179
2,1200	0,236
2,1400	0,291
2,1600	0,344
2,1800	0,394
2,2000	0,443
2,2200	0,487
2,2400	0,529
2,2600	0,569
2,2800	0,605
2,3000	0,636
2,3200	0,663
2,3400	0,686
2,3600	0,707
2,3800	0,721
2,4000	0,732
2,4200	0,738
2,4400	0,740
2,4600	0,738
2,4800	0,732
2,5000	0,719
2,5200	0,704
2,5400	0,685
2,5600	0,661
2,5800	0,633
2,6000	0,602
2,6200	0,567
2,6400	0,529
2,6600	0,487
2,6800	0,443
2,7000	0,397
2,7200	0,349
2,7400	0,297
2,7600	0,243
2,7800	0,190
2,8000	0,134
2,8200	0,077
2,8400	0,020
2,8600	-0,038
2,8800	-0,096
2,9000	-0,154
2,9200	-0,210
2,9400	-0,267
2,9600	-0,322
2,9800	-0,374
3,0000	-0,426
3,0200	-0,476
3,0400	-0,523
3,0600	-0,567
3,0800	-0,608
3,1000	-0,646
3,1200	-0,680
3,1400	-0,712
3,1600	-0,738
3,1800	-0,762
3,2000	-0,779
3,2200	-0,795
3,2400	-0,804
3,2600	-0,809
3,2800	-0,811
3,3000	-0,809
3,3200	-0,801
3,3400	-0,790
3,3600	-0,774
3,3800	-0,756
3,4000	-0,732
3,4200	-0,705
3,4400	-0,675
