Velocity, Run #248
Time ( s )	Velocity ( rad/s )
0,098376	4,65
0,234007	4,62
0,369985	4,62
0,505875	4,62
0,642000	4,61
0,778697	4,59
0,916251	4,55
1,053818	4,59
1,191361	4,55
1,329696	4,53
1,468435	4,52
1,606979	4,55
1,740601	4,87
1,861952	5,53
1,967640	6,43
2,059437	7,31
2,140866	8,16
2,214032	9,06
2,280150	10,00
2,341091	10,65
2,399426	10,90
2,457095	10,89
2,514790	10,89
2,572528	10,88
2,630433	10,83
2,688375	10,86
2,746496	10,76
2,804844	10,78
2,863226	10,75
2,921764	10,72
2,980444	10,70
3,039347	10,64
3,098496	10,61
3,157617	10,65
3,216725	10,61
3,275856	10,64
3,335684	10,37
3,398775	9,58
3,470519	8,06
3,562596	5,91
3,688919	4,29
3,836446	4,23
3,984888	4,24
4,133136	4,24
4,281500	4,23
4,430112	4,22
4,579028	4,21
4,728220	4,21
4,877628	4,20
5,027356	4,19
5,177300	4,19
5,327483	4,18
5,477802	4,18
5,628015	4,18
5,778375	4,17
5,929030	4,17
6,080023	4,16
6,231382	4,15
6,383276	4,13
6,535986	4,10
6,689366	4,09
6,843190	4,08
6,997252	4,08
7,151409	4,07
7,305820	4,06
