Velocity, Run #258
Time ( s )	Velocity ( rad/s )
0,118353	8,08
0,196670	7,97
0,275137	8,05
0,353836	7,92
0,433170	7,92
0,512851	7,85
0,592786	7,87
0,672222	7,95
0,751577	7,88
0,831539	7,83
0,911800	7,82
0,991687	7,91
1,070274	8,09
1,147152	8,26
1,221957	8,54
1,293682	8,99
1,363207	9,08
1,429442	9,92
1,491849	10,22
1,551310	10,94
1,606846	11,71
1,658942	12,43
1,708064	13,17
1,754029	14,21
1,797291	14,85
1,838944	15,32
1,879181	15,92
1,918100	16,38
1,955871	16,90
1,992791	17,14
2,029090	17,49
2,064855	17,65
2,100239	17,87
2,135461	17,81
2,170602	17,95
2,205731	17,82
2,240900	17,91
2,275870	18,03
2,310703	18,05
2,345585	17,98
2,380521	17,99
2,415453	17,98
2,450389	17,99
2,485740	17,56
2,521022	18,06
2,556161	17,71
2,591633	17,72
2,627081	17,73
2,662463	17,79
2,697882	17,69
2,733355	17,73
2,768841	17,68
2,804990	17,09
2,840485	18,36
2,875989	17,08
2,912324	17,51
2,948492	17,24
2,984803	17,37
3,021043	17,31
3,057474	17,19
3,094076	17,15
3,130766	17,10
3,167476	17,13
3,204150	17,14
3,240746	17,20
3,277423	17,06
3,314410	16,91
3,351554	16,92
3,388608	17,00
3,425807	16,79
3,463201	16,82
3,500650	16,74
3,538170	16,76
3,575650	16,77
3,613009	16,86
3,650492	16,66
3,688335	16,54
3,725941	16,87
3,764256	15,95
3,803015	16,48
3,841160	16,46
3,879434	16,37
3,917660	16,50
3,955741	16,50
3,993843	16,49
4,032466	16,06
4,070461	17,05
4,109522	15,23
4,149552	16,20
4,188424	16,13
4,227515	16,01
4,266796	15,98
4,306104	15,99
4,345314	16,06
4,384526	15,99
4,424011	15,84
4,463732	15,80
4,503436	15,85
4,543175	15,77
4,583079	15,72
4,623099	15,68
4,663243	15,62
4,702753	16,19
4,742886	15,15
4,783793	15,57
4,824083	15,62
4,864597	15,40
4,905304	15,47
4,945994	15,42
4,986797	15,38
5,027741	15,31
5,068846	15,26
