t	Temperature 
t/s	T/°C

0,000	24,9
0,000	25,2
1,000	24,8
2,000	24,7
3,000	24,6
4,000	24,5
5,000	24,4
6,000	24,4
7,000	24,3
8,000	24,2
9,000	24,2
10,000	24,1
11,000	24,0
12,000	24,0
13,000	23,9
14,000	23,9
15,000	23,8
16,000	23,8
17,000	23,7
18,000	23,7
19,000	23,6
20,000	23,6
21,000	23,5
22,000	23,5
23,000	23,4
24,000	23,4
25,000	23,4
26,000	23,3
27,000	23,3
28,000	23,3
29,000	23,3
30,000	23,2
31,000	23,2
32,000	23,2
33,000	23,2
34,000	23,2
35,000	23,2
36,000	23,2
37,000	23,1
38,000	23,1
39,000	23,1
40,000	23,1
41,000	23,0
42,000	23,0
43,000	23,0
44,000	23,0
45,000	22,9
46,000	22,9
47,000	22,9
48,000	22,9
49,000	22,9
50,000	22,8
51,000	22,8
52,000	22,8
53,000	22,8
54,000	22,8
55,000	22,8
56,000	22,8
57,000	22,8
58,000	22,8
59,000	22,7
60,000	22,8
61,000	22,7
62,000	22,7
63,000	22,7
64,000	22,7
65,000	22,7
66,000	22,7
67,000	22,7
68,000	22,7
69,000	22,7
70,000	22,7
71,000	22,7
72,000	22,7
73,000	22,7
74,000	22,7
75,000	22,7
76,000	22,7
77,000	22,7
78,000	22,7
79,000	22,7
80,000	22,7
81,000	22,7
82,000	22,7
83,000	22,7
84,000	22,7
85,000	22,7
86,000	22,7
87,000	22,7
88,000	22,7
89,000	22,7
90,000	22,7
91,000	22,7
92,000	22,7
93,000	22,7
94,000	22,7
95,000	22,7
96,000	22,7
97,000	22,7
98,000	22,7
99,000	22,7
100,000	22,7
101,000	22,7
102,000	22,7
103,000	22,7
104,000	22,7
105,000	22,7
106,000	22,7
107,000	22,7
108,000	22,7
109,000	22,7
110,000	22,7
111,000	22,8
112,000	22,7
113,000	22,8
114,000	22,7
115,000	22,7
116,000	22,8
117,000	22,8
118,000	22,8
119,000	22,8
120,000	22,8
121,000	22,8
122,000	22,8
123,000	22,8
124,000	22,8
125,000	22,8
126,000	22,8
127,000	22,8
128,000	22,8
129,000	22,8
130,000	22,8
131,000	22,8
132,000	22,8
133,000	22,8
134,000	22,8
135,000	22,8
136,000	22,8
137,000	22,8
138,000	22,8
139,000	22,8
140,000	22,9
141,000	23,1
142,000	23,1
143,000	23,1
144,000	23,2
145,000	23,2
146,000	23,2
147,000	23,2
148,000	23,2
149,000	23,2
150,000	23,2
151,000	23,2
152,000	23,2
153,000	23,2
154,000	23,2
155,000	23,2
156,000	23,2
157,000	23,2
158,000	23,2
159,000	23,2
160,000	23,2
161,000	23,2
162,000	23,2
163,000	23,2
164,000	23,2
165,000	23,2
166,000	23,2
167,000	23,2
168,000	23,3
169,000	23,2
170,000	23,2
171,000	23,3
172,000	23,3
173,000	23,2
174,000	23,2
175,000	23,3
176,000	23,3
177,000	23,3
178,000	23,3
179,000	23,2
180,000	23,3
181,000	23,3
182,000	23,3
183,000	23,3
184,000	23,3
185,000	23,3
186,000	23,2
187,000	23,3
188,000	23,2
189,000	23,3
190,000	23,2
191,000	23,2
192,000	23,3
193,000	23,3
194,000	23,2
195,000	23,2
196,000	23,2
197,000	23,2
198,000	23,2
199,000	23,2
200,000	23,2
201,000	23,2
202,000	23,2
203,000	23,2
204,000	23,2
205,000	23,2
206,000	23,2
207,000	23,2
208,000	23,2
209,000	23,2
210,000	23,2
211,000	23,2
212,000	23,2
213,000	23,3
214,000	23,2
215,000	23,2
216,000	23,3
217,000	23,2
218,000	23,3
219,000	23,2
220,000	23,3
221,000	23,3
222,000	23,2
223,000	23,2
224,000	23,3
225,000	23,3
226,000	23,2
227,000	23,2
228,000	23,3
229,000	23,3
230,000	23,3
231,000	23,3
232,000	23,3
233,000	23,2
234,000	23,3
235,000	23,3
236,000	23,3
237,000	23,2
238,000	23,3
239,000	23,3
240,000	23,2
241,000	23,2
242,000	23,3
243,000	23,2
244,000	23,2
245,000	23,3
246,000	23,3
247,000	23,2
248,000	23,2
249,000	23,2
250,000	23,2
251,000	23,2
252,000	23,2
253,000	23,2
254,000	23,2
255,000	23,2
256,000	23,2
257,000	23,2
258,000	23,2
259,000	23,2
260,000	23,2
261,000	23,2
262,000	23,2
263,000	23,2
264,000	23,2
265,000	23,2
266,000	23,2
267,000	23,2
268,000	23,2
269,000	23,2
270,000	23,2
271,000	23,2
272,000	23,2
273,000	23,2
274,000	23,2
275,000	23,2
276,000	23,2
277,000	23,2
