t	Temperature 
t/s	T/°C

0,000	23,3
0,000	23,3
5,000	23,2
10,000	23,2
15,000	23,2
20,000	23,2
25,000	23,2
30,000	23,2
35,000	23,2
40,000	23,2
45,000	23,2
50,000	23,2
55,000	23,2
60,000	23,2
65,000	23,2
70,000	23,2
75,000	23,2
80,000	23,2
85,000	23,2
90,000	23,2
95,000	23,2
100,000	23,1
105,000	23,1
110,000	23,1
115,000	22,8
120,000	22,3
125,000	21,6
130,000	21,4
135,000	21,3
140,000	21,0
145,000	20,8
150,000	20,5
155,000	20,4
160,000	20,3
165,000	20,3
170,000	20,2
175,000	20,1
180,000	20,0
185,000	20,0
190,000	19,9
195,000	19,9
200,000	19,9
205,000	19,8
210,000	19,8
215,000	19,8
220,000	19,8
225,000	19,8
230,000	19,8
235,000	19,8
240,000	19,8
245,000	19,8
250,000	19,8
255,000	19,8
