t	Temperature 
t/s	T/°C

0,000	75,1
0,000	75,1
5,000	75,0
10,000	75,0
15,000	74,9
20,000	74,9
25,000	74,8
30,000	74,7
35,000	74,7
40,000	74,7
45,000	74,6
50,000	74,6
55,000	74,6
60,000	74,6
65,000	74,6
70,000	74,5
75,000	72,4
80,000	66,6
85,000	63,7
90,000	59,5
95,000	56,4
100,000	52,9
105,000	50,6
110,000	48,5
115,000	48,2
120,000	47,9
125,000	47,1
130,000	46,4
135,000	46,1
140,000	45,9
145,000	45,9
150,000	45,9
155,000	45,9
160,000	45,9
165,000	45,9
170,000	45,9
175,000	45,9
180,000	46,0
185,000	46,0
190,000	46,0
195,000	46,0
200,000	46,0
205,000	46,0
210,000	46,0
215,000	46,1
220,000	46,1
225,000	46,1
230,000	46,1
235,000	46,1
240,000	46,1
245,000	46,1
250,000	46,1
255,000	46,1
260,000	46,1
265,000	46,1
270,000	46,1
275,000	46,1
