t	Temperature 
t/s	T/°C

0,000	22,2
5,000	24,2
10,000	26,4
15,000	27,5
20,000	28,6
25,000	32,0
30,000	34,6
35,000	37,0
40,000	38,4
45,000	39,8
50,000	40,9
55,000	41,9
60,000	42,6
65,000	43,2
70,000	43,0
75,000	43,3
80,000	42,7
85,000	43,3
90,000	43,5
95,000	44,3
100,000	44,8
105,000	45,3
110,000	45,8
115,000	46,2
120,000	46,6
125,000	46,9
130,000	47,2
135,000	47,6
140,000	47,9
145,000	48,3
150,000	48,5
155,000	48,8
160,000	49,1
165,000	49,5
170,000	49,9
175,000	50,4
180,000	51,0
185,000	51,6
190,000	52,3
195,000	53,1
200,000	53,9
205,000	54,7
210,000	55,5
215,000	56,3
220,000	57,7
225,000	58,3
230,000	60,1
235,000	61,4
240,000	62,4
245,000	63,2
250,000	64,4
255,000	65,4
260,000	66,3
265,000	67,5
270,000	68,5
275,000	69,6
280,000	70,8
285,000	72,0
290,000	73,0
295,000	74,3
300,000	75,5
305,000	75,9
310,000	75,8
315,000	75,6
320,000	75,5
325,000	75,5
330,000	75,5
335,000	75,4
340,000	75,4
345,000	75,3
350,000	75,2
355,000	75,3
360,000	75,2
365,000	75,2
370,000	75,1
375,000	75,1
380,000	75,0
385,000	75,0
390,000	75,0
395,000	74,9
400,000	74,9
405,000	74,8
410,000	74,8
415,000	74,8
420,000	74,7
425,000	74,7
430,000	74,7
435,000	74,7
440,000	74,6
445,000	74,6
450,000	74,6
455,000	74,5
460,000	74,5
465,000	74,4
470,000	74,4
475,000	74,3
480,000	74,3
